,1991,1996,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Albany,141,382,384,299,299,143,150,150,762,280,300,104,105,94,74,74,74,18,70,94
Alexandria,61,101,84,110,117,156,81,68,59,80,98,61,51,51,48,40,41,44,31,46
Allentown,155,197,181,184,275,175,217,189,278,139,134,147,118,118,117,98,135,132,,96
Altoona-Johnstown,111,112,139,112,125,133,126,108,111,83,108,102,94,71,62,66,75,64,54,61
Amarillo,65,118,114,74,193,111,112,96,122,134,84,49,58,77,53,45,59,59,40,37
Anchorage,53,77,67,138,95,71,81,61,66,80,48,37,63,41,26,49,50,30,38,43
Arlington,576,2032,1953,784,742,848,854,863,795,841,784,788,519,474,553,489,1274,382,372,295
Atlanta,700,97,469,513,560,617,787,739,719,549,825,409,538,485,496,562,546,522,382,484
Austin,360,593,560,603,678,629,573,638,700,509,509,319,314,483,467,401,394,376,407,343
Baker,98,168,146,125,119,182,128,154,210,210,140,117,78,57,37,67,41,45,54,55
Baltimore,561,589,659,660,660,676,629,574,524,504,580,524,527,543,483,486,481,465,444,486
Baton Rouge,,325,192,216,240,208,263,269,210,207,184,148,161,125,105,153,153,122,148,138
Beaumont,158,134,143,176,145,126,118,106,170,209,86,107,96,148,139,125,178,134,106,125
Belleville,398,242,274,306,214,275,306,334,247,184,180,,100,124,127,125,126,119,104,111
Biloxi,203,437,406,438,375,406,472,506,434,469,454,87,86,109,140,101,123,123,99,129
Birmingham,235,148,213,239,197,237,262,207,205,167,203,180,199,223,206,209,157,200,190,166
Bismarck,67,93,98,114,75,145,59,84,140,105,58,72,64,29,34,35,36,55,81,48
Boise,340,248,237,212,385,402,380,390,290,286,266,223,192,163,168,173,216,188,222,181
Boston,549,452,478,515,523,575,712,3031,3362,3620,3419,383,329,429,347,326,250,369,,3118
Bridgeport,118,167,173,208,211,154,199,98,109,109,138,100,160,79,126,172,175,170,122,240
Brooklyn,672,616,928,805,1012,927,886,670,1003,839,761,560,611,573,624,505,605,560,582,633
Brownsville,292,475,2615,3990,4463,4095,4148,4622,682,660,4380,4715,206,145,170,252,290,171,222,226
Buffalo,580,366,219,217,512,485,557,588,510,471,436,184,151,152,132,176,143,172,185,138
Burlington,82,102,82,98,99,138,144,113,126,102,87,95,156,104,64,75,74,84,70,58
Camden,412,519,571,814,556,666,602,1001,1056,555,534,812,462,439,,,465,,465,505
Charleston,286,315,244,289,230,262,616,321,964,305,1023,231,244,168,201,200,137,180,156,156
Charlotte,587,242,298,323,274,209,291,319,245,262,258,202,239,264,235,293,293,311,253,285
Cheyenne,121,155,168,315,195,173,170,162,173,180,129,115,105,87,127,76,117,75,87,70
Chicago,2079,1749,1982,1979,1892,2008,2245,2328,1831,1650,1710,1680,1484,1443,1630,1425,1585,1597,1797,1575
Cincinnati,1223,1342,1196,1187,1183,982,902,961,830,707,756,561,486,413,471,446,437,412,388,343
Cleveland,1974,1181,1057,1033,1183,2455,1058,1066,944,876,844,835,836,711,694,423,416,385,321,353
Colorado Springs,105,91,218,196,143,184,154,167,132,181,324,94,75,80,103,81,100,85,89,79
Columbus,359,453,556,536,529,522,515,505,511,444,467,464,431,292,317,289,358,310,405,321
Corpus Christi,201,215,228,180,261,163,219,257,170,193,187,178,163,123,188,144,172,159,164,152
Covington,143,160,216,419,459,445,430,444,227,436,220,190,163,196,155,135,135,195,186,187
Crookston,21,23,20,22,46,23,19,24,19,49,14,17,51,29,9,43,20,11,10,15
Dallas,431,680,711,906,750,658,1000,800,818,670,792,684,711,914,1037,1007,986,767,856,1233
Davenport,204,233,217,235,250,269,271,247,256,256,211,149,146,146,151,153,143,142,137,170
Denver,531,1227,882,810,761,925,688,746,746,983,1244,793,461,,424,377,471,471,419,425
Des Moines,,307,238,231,232,234,228,239,202,174,137,162,198,116,113,85,77,115,114,69
Detroit,1201,1341,1327,1394,1442,1535,1381,1261,1158,1225,1034,937,781,684,704,663,636,603,484,450
Dodge City,45,490,236,93,117,364,346,70,70,73,62,45,40,47,48,35,40,48,25,31
Dubuque,544,137,164,162,123,138,164,188,145,108,113,109,87,79,101,100,102,116,84,82
Duluth,,57,52,93,40,49,39,60,51,47,74,38,26,38,29,26,34,34,34,27
El Paso,71,108,127,129,132,136,140,144,144,144,244,159,105,133,165,112,112,154,137,147
Erie,287,538,326,585,266,286,252,477,461,233,190,191,110,115,119,125,130,110,92,54
Evansville,162,152,147,107,114,173,141,144,115,86,90,125,99,91,92,70,87,84,98,72
Fairbanks,,28,31,22,25,43,18,31,19,10,7,11,11,15,17,14,31,18,16,13
Fall River,84,90,114,122,122,121,94,90,90,101,80,54,74,44,58,44,75,70,56,54
Fargo,63,53,48,79,41,41,47,55,70,53,48,61,66,30,36,59,36,25,33,35
Fort Wayne-South Bend,301,590,390,422,400,458,540,467,356,320,355,226,208,224,163,181,185,197,176,658
Fort Worth,262,370,461,529,479,470,469,485,430,885,421,178,270,242,257,342,342,336,380,238
Fresno,240,529,466,558,642,581,544,719,579,605,524,499,898,393,455,416,354,428,405,422
Gallup,155,172,298,264,260,267,254,252,235,241,218,94,114,89,89,104,77,93,89,93
Galveston-Houston,668,2096,1285,1601,1213,1374,1639,1616,1834,1897,2036,1895,1811,1749,1782,1714,1894,2216,1952,2172
Gary,210,240,210,179,141,200,170,158,127,136,139,134,75,95,64,143,97,75,106,77
Gaylord,116,,174,182,136,177,137,123,110,105,87,64,65,70,64,49,70,64,65,56
Grand Island,69,,111,91,110,123,106,125,103,87,129,96,71,47,61,49,71,59,77,75
Grand Rapids,433,297,350,413,393,298,402,344,309,292,287,237,230,184,338,220,212,181,153,198
Great Falls-Billings,125,124,116,105,128,164,146,94,116,102,84,79,75,85,58,58,63,46,58,36
