,1991,1996,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Albany,3746,4047,4059,3518,,2963,4190,4100,3900,3650,3700,3298,3527,3451,3067,4338,3275,2830,3234,2670
Alexandria,594,554,568,583,654,603,613,603,593,592,531,562,456,499,465,498,423,437,455,434
Allentown,2635,3750,3445,3416,3988,4270,3469,3243,3683,3831,3694,3486,3562,3620,3824,2858,3694,3278,2874,3591
Altoona-Johnstown,176,1867,2443,1960,1933,1818,1826,1837,1714,1660,1495,2172,2109,2146,1928,1923,1427,1235,1145,1012
Amarillo,577,1694,1066,1245,1291,1617,1164,1250,1304,1117,670,790,893,744,498,558,686,691,296,673
Anchorage,277,298,326,398,382,571,378,347,356,283,259,261,332,292,272,325,297,350,248,318
Arlington,4185,4278,4997,5238,4725,5392,5800,5718,5906,5378,5762,6103,6169,6622,6373,6538,6852,6734,6288,6419
Atlanta,1468,2984,3086,3598,3576,3701,4195,3537,2329,2817,3141,3141,4066,4459,4853,4902,4806,5126,5532,5795
Austin,2282,3100,3368,3775,3933,4167,4236,4087,4100,3532,3500,3072,3499,4015,4308,4439,4291,4697,4867,5482
Baker,221,273,348,298,252,338,659,790,1102,1102,513,729,620,827,844,728,618,665,805,650
Baltimore,4741,5255,5716,5902,5902,5684,4918,5109,5419,5495,5381,5736,5354,5583,5529,5688,5299,4935,4892,4699
Baton Rouge,1704,2585,2384,2499,2734,2831,2453,2639,2311,2234,2146,2254,2289,2013,2155,2040,2040,2105,2101,2117
Beaumont,779,1007,983,1060,933,1085,815,818,826,566,594,610,757,796,670,574,1004,887,1025,979
Belleville,1954,1595,1817,2009,1880,2025,1794,1876,1566,1727,1179,1179,900,1073,1375,1400,1475,1551,1000,920
Biloxi,752,659,631,633,569,619,576,737,616,893,833,787,757,1030,847,855,673,846,743,795
Birmingham,882,924,1003,1053,1165,1239,1306,1149,1170,1306,1307,1283,1381,1405,1369,1385,1560,1611,1915,1499
Bismarck,1037,1309,1376,1407,1243,1325,1402,1261,1177,1141,1079,1126,1115,982,1050,995,980,1036,964,1018
Boise,736,965,1065,1119,1173,1288,1315,1020,1034,1026,1104,1103,1126,1020,1191,1318,1219,1425,1345,1319
Boston,15276,13717,15734,13054,15752,15748,15663,15328,16050,16409,16272,16093,15060,14307,14842,14484,13305,14208,11148,12743
Bridgeport,3902,3885,3886,3964,4008,4275,4368,4766,4494,5692,4884,4704,4546,4352,5314,5187,5228,5190,4271,3598
