,1991,1996,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Albany,5443,5781,5774,5041,5041,5298,5600,5600,5100,4800,4850,3957,4516,4302,3982,3405,3752,3642,3347,3247
Alexandria,916,824,760,758,851,792,649,665,684,658,643,632,636,737,600,617,593,570,546,524
Allentown,,3750,0,0,4072,4056,3983,3731,3649,3893,3548,3670,3551,3371,3363,3388,3513,3345,3345,2774
Altoona-Johnstown,1888,1990,1885,2578,1892,1750,1724,1535,1454,1454,1297,1298,1258,1324,1251,1115,1154,1067,1031,1009
Amarillo,691,1001,1047,1070,1229,1363,1170,1362,1351,1224,1182,866,1026,268,921,1173,1086,1015,1095,989
Anchorage,562,,,,609,614,576,563,499,515,473,507,497,457,451,477,429,470,411,373
Anchorage (Archdiocese),,643,610,587,,,,,,,,,,,,,,,,
Arlington,5031,5538,7702,6612,6866,7072,7158,7586,7538,7504,7733,7913,7777,8212,8291,8294,8161,8199,8157,7772
Atlanta,2187,,,,5270,5211,5837,6986,6507,6510,6603,7337,8496,9039,9599,8739,8514,9382,9522,10600
Atlanta (Archdiocese),,4840,4111,5301,,,,,,,,,,,,,,,,
Austin,4025,4661,5594,5627,5716,5958,6002,6478,6500,5965,6126,5931,6513,7671,7453,7812,7707,8389,8927,7577
Baker,449,617,766,597,896,932,1100,1090,956,956,787,966,260,1085,1166,915,929,961,930,804
Baltimore,7692,,,,8597,8216,6606,6557,6703,6755,6468,6415,6153,6075,6099,5941,5828,5681,5084,5303
Baltimore (Archdiocese),,7752,8280,8597,,,,,,,,,,,,,,,,
Baton Rouge,3213,2913,2901,2984,3015,3030,2809,2744,2687,2620,2474,2448,2632,2428,2455,2487,2487,2252,2435,2388
Beaumont,1554,1467,1415,1375,1362,1408,1263,1344,1359,1170,1274,1201,1446,1351,1407,1380,1289,1268,1168,1255
Belleville,18990,1865,1698,1893,1837,1685,1660,1784,1533,1523,1226,1200,1050,1002,1256,1300,1353,1452,1000,1030
Biloxi,1187,1163,1214,1208,1134,1246,1171,1208,1152,1012,1068,846,988,1030,1014,1054,967,1054,945,1030
Birmingham,1162,1194,1265,1347,1355,1488,1562,1481,1375,1298,1697,1674,1423,1544,1948,2003,1973,1939,1950,2068
Bismarck,,,1435,1327,1173,1190,1213,995,1105,1087,534,1054,924,930,912,867,870,883,888,1004
Bismark,1734,1483,,,,,,,,,,,,,,,,,,
Boise,1714,1888,1898,2099,2306,2184,2419,2314,2353,2437,2156,2190,2299,2288,2401,2431,2298,2551,2226,2107
Boston,21393,,23721,,24623,24735,,22802,21632,21838,20520,20077,19437,18467,18643,18679,16786,16849,14064,14213
Boston (Archdiocese),,22470,,23724,,,,,,,,,,,,,,,,
Bridgeport,4338,5109,5186,5898,5823,5809,5905,6116,5922,5510,5693,5634,4987,4907,5569,5128,5320,5274,4505,3745
Brooklyn,15963,13674,15759,15824,16398,15598,14445,12955,14543,14290,13264,13027,11127,10594,11045,11658,11874,10753,12356,12125
Brownsville,6078,6737,6346,6721,6771,6569,7297,7757,7354,6859,7403,7282,6645,5435,7023,7441,8238,7612,6967,7306
Buffalo,7619,8432,8314,8173,8288,7890,7776,7510,7126,6783,6402,6179,5697,5525,5201,5091,4722,4554,4416,4132
