,1991,1996,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Albany,5833,5936,5859,4983,4983,4623,4650,4650,4258,4300,4350,4026,3964,3907,3315,3078,3297,2582,2927,3007
Alexandria,918,717,788,668,764,753,675,716,671,722,660,589,593,589,660,655,552,493,524,471
Allentown,4346,4010,3980,3979,3968,3658,3624,3635,3622,3499,3602,3567,3158,3308,3043,3027,2780,2684,2440,2440
Altoona-Johnstown,1695,1768,1613,1560,1542,1512,1448,1419,1444,1336,1289,1214,1151,1032,974,934,925,919,829,882
Amarillo,1264,1134,1122,1095,1236,1230,1277,1250,1237,1459,1340,978,1112,1189,1211,1024,1052,955,962,933
Anchorage,634,680,562,549,594,614,536,444,547,438,510,472,496,483,474,391,454,352,447,400
Arlington,5308,5042,5250,6654,8793,7103,7141,7477,7165,7511,7609,7647,7192,7512,6692,7064,5035,7414,6934,7143
Atlanta,3500,5037,6069,6522,7124,7865,8868,10684,9391,10267,11143,9527,12138,12138,11070,9366,7741,10167,8417,8627
Austin,5306,5907,6710,6820,7199,7337,7494,8147,8400,7088,7300,6818,7433,8791,8182,9593,7984,8472,7389,7591
Baker,708,863,985,786,927,776,816,876,927,927,906,1023,785,844,977,936,907,826,751,694
Baltimore,9624,8223,8475,8059,8059,8051,7490,7115,6826,6965,7820,6613,6836,6381,6229,486,5860,5456,5381,5310
Baton Rouge,3422,3185,2870,2678,2928,3043,2847,2598,2527,2433,2437,2467,2531,2332,2257,2474,2474,2097,2007,2092
Beaumont,1412,1402,1233,1263,1430,1480,1268,1333,1287,1385,1374,1250,1361,1314,1272,1379,1381,1339,1410,1242
Belleville,1783,1656,1711,1619,1615,1540,1624,1374,1464,1538,1183,1080,1040,966,1073,1125,1138,2100,1000,1020
Biloxi,1063,830,794,815,771,821,855,923,782,809,832,816,933,1069,996,997,947,869,887,829
Birmingham,1160,1213,1336,1483,1656,1678,1708,1746,1829,1750,2219,2162,2430,2092,2436,2432,1821,1993,1828,1690
Bismarck,1545,1387,1208,1208,1179,1047,1065,882,1335,969,873,946,882,1043,894,966,950,970,984,995
Boise,1780,2421,2487,2458,2728,2652,2599,2503,2472,2420,2841,2595,3121,2772,2596,2419,2672,2530,2271,2378
Boston,31670,27465,29282,25355,27802,29301,27325,24097,22287,21889,18834,18273,17360,16395,15718,15948,13390,13222,12529,15682
Bridgeport,5934,5869,6160,5871,5967,6149,5713,5789,6036,6036,5008,4829,4510,4185,4217,4108,4212,4195,3652,2652
Brooklyn,25007,20617,22457,21953,22326,21901,19789,17670,19377,19593,19143,18107,16966,17364,17095,16698,16259,14980,15502,14937
Brownsville,7178,8169,5607,4564,4634,4393,4608,4290,4439,4014,3989,4189,7596,7161,8681,8074,8846,7993,7786,7979
Buffalo,9429,8325,8140,7910,7297,6741,6865,6435,6226,5704,5338,4812,4869,4616,4110,3890,3836,3679,3717,3503
Burlington,2352,2016,1878,1773,1680,1679,1571,1514,1375,1492,1256,1052,1030,990,870,792,764,682,658,556
Camden,8255,7592,6980,6822,6623,6894,6553,6533,6192,6115,6559,5937,5936,6312,5640,4896,5018,5047,5018,4370
Charleston,1788,1780,1991,2008,2092,2290,2198,2491,2793,2441,2247,3147,3160,3323,3324,3168,2882,2701,2832,3045
Charlotte,1433,2309,2865,3098,3439,3733,3819,4494,5677,5124,4616,4989,6686,4245,3462,3233,3233,6028,5501,5570
Cheyenne,1126,1174,995,1097,1044,932,866,860,870,840,901,823,919,971,926,937,942,857,839,710
Chicago,37690,39374,39134,39150,39171,41083,39041,39785,39927,39550,39602,38400,37049,36106,35151,34363,32914,31277,29829,27779
Cincinnati,8938,8340,8377,8369,8610,8182,7984,7660,7280,7168,6806,6461,6362,6253,5955,5798,5525,5523,5341,5542
Cleveland,10775,11173,11013,10901,10480,9228,10470,9885,9355,9088,8679,8113,7718,7483,7009,6266,6210,6099,5869,5699
Colorado Springs,1187,1381,1170,1427,1378,1543,1404,1640,1555,1644,1526,1452,1087,1251,1348,1322,1008,1139,1082,920
Columbus,3873,3474,3995,3785,3693,4083,4050,3938,3760,3503,3738,3731,3344,3422,3536,3452,3189,3361,3190,3262
Corpus Christi,6198,5718,5497,5621,5964,3426,3634,3408,2900,3097,3349,2793,2739,2468,2517,2810,2050,2083,2074,1927
Covington,1474,1478,1435,1320,1330,1306,1318,1368,1434,1266,1443,1168,1109,1105,1119,1039,1017,963,988,912
Crookston,800,688,755,719,694,704,709,651,644,509,565,586,474,521,498,531,554,541,525,445
Dallas,6556,9814,10644,10888,12186,13838,14574,15105,15794,16451,16860,17100,16593,17203,16931,15746,15390,15142,13596,15210
Davenport,2108,1635,1645,1490,1496,1782,1681,1722,254,254,1579,1553,1512,1371,1405,1400,1297,1314,1253,1156
Denver,8504,8046,9778,10086,9232,9994,10395,11501,11501,12269,11254,9534,10760,11260,10510,9437,9244,9244,8607,8317
Des Moines,1734,1786,1977,1929,2132,2052,2069,2279,2042,2023,1960,2067,1980,1934,1842,1754,1667,1522,1716,1916
Detroit,17230,17265,16907,16268,16358,16763,15875,15139,13949,14068,12606,12093,11103,10561,9544,8908,8784,8084,7765,6646
Dodge City,819,1071,842,1028,1017,968,1193,990,1001,1115,990,1033,1040,1042,1081,959,961,1007,911,812
Dubuque,3886,3627,3378,3482,3261,3392,3344,3185,2983,3067,2923,2882,2519,2774,2621,2769,2456,2590,1997,2438
Duluth,1481,1213,1190,1179,1095,1057,1014,1025,912,937,859,814,810,760,679,690,643,592,566,595
El Paso,6954,8043,8473,8556,8770,9033,9260,9538,9538,9538,5046,4997,4733,4441,4662,5393,4908,4769,4094,4134
Erie,3460,2698,2497,2354,2195,2188,2102,1986,1817,1801,1724,1529,1752,1666,1543,1400,1530,1350,1300,1250
Evansville,1604,1507,1524,1462,1412,1407,1359,1339,1267,1190,1224,1212,1249,1256,1180,1148,1153,1085,1123,1028
Fairbanks,465,399,427,363,399,405,364,371,353,322,200,236,305,277,309,236,323,249,284,157
Fall River,6038,5636,5391,5368,5297,4920,4722,4585,4585,4447,4192,4050,3635,3289,3109,3058,2883,2800,2492,2499
Fargo,1759,2132,1052,1307,1139,1231,1042,1222,1483,1275,1209,1288,1206,1250,1262,1185,1124,1094,1106,1065
