,1991,1996,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Albany,,,,,,,,,,,,,151,137,108,197,101,536,125,143
Alexandria,,,,,,,,,,,,,54,92,103,55,71,35,57,60
Allentown,,,,,,,,,,,,,,119,0,,,,121,121
Altoona-Johnstown,,,,,,,,,,,,,,41,33,54,51,67,42,53
Amarillo,,,,,,,,,,,,,115,79,82,109,156,85,114,105
Anchorage,,,,,,,,,,,,,48,43,94,49,35,29,44,26
Arlington,,,,,,,,,,,,,,586,910,767,2193,517,641,574
Atlanta,,,,,,,,,,,,,532,589,478,482,707,755,663,855
Austin,,,,,,,,,,,,,663,726,642,614,660,717,668,619
Baker,,,,,,,,,,,,,152,78,115,84,65,92,94,105
Baltimore,,,,,,,,,,,,,,,0,,,,,
Baton Rouge,,,,,,,,,,,,,125,106,138,137,137,146,146,204
Beaumont,,,,,,,,,,,,,,,0,,,,,
Belleville,,,,,,,,,,,,,120,107,210,230,75,95,100,100
Biloxi,,,,,,,,,,,,,87,111,93,124,131,143,116,133
Birmingham,,,,,,,,,,,,,202,228,175,221,180,242,509,387
Bismarck,,,,,,,,,,,,,38,,101,118,100,71,64,24
Boise,,,,,,,,,,,,,173,162,224,226,287,226,228,320
Boston,,,,,,,,,,,,,3091,3319,3196,2880,2434,2434,3329,3329
Bridgeport,,,,,,,,,,,,,200,95,0,,,,,
Brooklyn,,,,,,,,,,,,,907,931,1037,875,859,890,989,972
Brownsville,,,,,,,,,,,,,699,508,756,621,624,780,768,671
Buffalo,,,,,,,,,,,,,198,185,165,184,145,182,187,164
Burlington,,,,,,,,,,,,,,1,82,72,83,91,77,75
Camden,,,,,,,,,,,,,,,452,454,,,505,
Charleston,,,,,,,,,,,,,248,407,317,313,303,337,404,374
Charlotte,,,,,,,,,,,,,343,341,469,329,329,528,508,712
Cheyenne,,,,,,,,,,,,,87,83,110,117,124,108,123,91
Chicago,,,,,,,,,,,,,,,0,,,,,
Cincinnati,,,,,,,,,,,,,314,384,388,375,316,383,386,401
Cleveland,,,,,,,,,,,,,,,0,426,372,402,480,499
Colorado Springs,,,,,,,,,,,,,,,95,116,134,146,114,118
Columbus,,,,,,,,,,,,,410,257,198,248,231,253,232,249
Corpus Christi,,,,,,,,,,,,,361,337,317,477,542,399,423,463
Covington,,,,,,,,,,,,,258,215,207,232,234,212,287,232
Crookston,,,,,,,,,,,,,,,,,,,,
Dallas,,,,,,,,,,,,,,,0,,,,,
Davenport,,,,,,,,,,,,,43,43,38,38,35,35,172,4
Denver,,,,,,,,,,,,,534,792,917,410,575,575,583,437
Des Moines,,,,,,,,,,,,,,85,87,100,83,110,117,131
Detroit,,,,,,,,,,,,,607,452,542,609,392,444,423,358
Dodge City,,,,,,,,,,,,,102,76,83,84,82,76,110,103
Dubuque,,,,,,,,,,,,,50,80,81,61,92,93,587,78
Duluth,,,,,,,,,,,,,32,35,27,31,34,38,25,44
