Year,Year_OCD,Diocese,Cd,ABp,titular archbishop,Bp,AuxBp,Bp:Ret,Bp:Coad,BpExld,Abts,ApostAdmin,ClrgVicrte,Pr:DADio,Pr:AOtDio,Pr:Ret/Sk/Abs,RPrResDio,ChldeanPr,Pr:D,Pr:R,Pr:Tot,PrOthDio,TotBr,TotSis,Prsh,WResPstr,Non-ResPstr,ChldeanRt,Ms,Stns,Chpls,WResChap,Non-resChap,"""Seminary-Josephinum Students, Major (4 yr of Theology)""","""Seminary-Josephinum Students,MInor (Highschool plus 4 yr of col","""seminaries, diocesan""","""students from this diocese (seminaries, diocesan)""","""student from other diocese (seminaries, diocesan)""",Preparatory seminary,students (Preparatory seminary),Students of dioc in other seminaries,"""Total seminarian (seminaries, diocesan)""",Divinity Students (Minor Sem) This Dioceses,Divinity Students (Minor Sem) Outside Dioceses,"""Seminaries, Religious, or Scholasticates""","""Students, Religious (Seminaries, Religious, or Scholasticates)""","""Diocesean Students from this diocese(Seminaries, Religious, or","""Diocesan students from other diocese (Seminaries, Religious, or","""Seminary, Interdiocesan""",Students from other diocese,Students from this diocese,Total students,TotSemnr,Colleges and Universities,men (Colleges and Universities),women (Colleges and Universities),part time,Total Students (Colleges and Universities),"""High School, Diocesan and Parochial""","""Boys (High School, Diocesan and Parachial)""","""Girls (High School, Diocesan and Parachial)""","""Total Students (High School, Diocesan and Parachial)""","""High Schools, private""","""Boys (High Schools, private)""","""Girls (High Schools, private)""","""Total Students (High Schools, private)""","""Elementary Schools, Parochial""","""Boys(Elementary Schools, Parochial)""","""Girls(Elementary Schools, Parochial)""","""Total Students (Elementary Schools, Parochial)""","""Elementary Schools, Private""","""Boys (Elementary Schools, Private)""","""girls (Elementary Schools, Private)""","""Total Students (Elementary Schools, Private)""",Institutional Schools,Boys Students (Institutional Schools),girl students (Institutional Schools),Total Students (Institutional Schools),Protective Institutions,Total students (Protective Institutions),School for special Education,Boys (School for special Education),Girls (School for special Education),Total Students (School for special Education),Mentally Retarded Children (CCD),Blind Children,Deaf Children,Total Handicapped Children under Catholic Instruction,High School Students (Public School Pupils in Special religious,Elementary Students (Public School Pupils in Special religious I,Total Students under Catholic Instruction,"""Priests, Teaching (full time)""","""Scholastics, Teaching""","""Brother, Teaching""","""Sisters, Teaching""",lay teachers,Total teachers in diocese,General Hospitals,Bed capacity,In-Patients treated annually,Out-Patients treated annually,Total Patients,Special Nursing home,patients,total patients (special nh),Special Hospitals or Sanatoria,. Beds,Daily Census Avg,Total in-patients (annual),patients admitted 1965,total out-patients (annual),total patients (annual),Schools for nurses,Student nurses,"""Orphanages, Homes for Dependent Children""",resident Boys,resident girls,children in foster home,Children in other institutions,Total Dependent Children,Homes for invalid and aged,Guests,InfBapt,AdltBapt,Cnvrt,TotBapt,TotMar,Mar:Cath,Mar:Inter,Dth,TotCath,TotPop
1965,1966,Albany,,,,1,1,,,,,,,428,24,6,271,,458,271,729,2,144,1903,208,204,4,,38,1,197,25,172,,,2,50,9,,,89,148,,,10,359,25,129,,,,,498,4,2006,1781,,3787,16,3616,4274,7890,9,1848,1561,3409,101,18535,18211,36746,3,116,241,357,2,150,220,370,1,183,,,,,,,,,12835,38895,68219,67,,92,1383,437,1979,4,869,30034,87042,117076,,,,5,318,,4861,,422,5283,3,314,3,190,277,148,,615,2,219,13270,,706,20276,4250,2890,1360,4896,410007,1159692
1965,1966,Alexandria,,,,1,,,,,,,,119,7,4,56,,130,56,186,4,27,352,85,84,1,,65,4,59,2,57,,,1,59,1,,,18,77,,,,,,,,,,,77,,,,,,7,361,455,816,4,601,676,1277,41,4606,4666,9272,,,,,,,,,2,220,,,,,,,,,3869,7589,23117,32,4,21,203,197,457,6,936,47750,39430,87180,,,,,,,,,,,2,86,2,18,15,,,33,1,111,2597,,477,3074,745,379,366,757,91859,1009860
1965,1966,Allentown,,,,1,,,,,,,,276,3,15,86,,294,86,380,1,32,1227,152,149,3,,27,8,91,18,73,,,,,,,,167,,,,2,152,,,,,,,319,2,157,190,,347,10,3495,4187,7682,2,,235,235,99,14378,14460,28838,,,,,4,152,132,284,1,56,,,,,,,,,7987,9013,54761,88,,,767,233,1088,3,1037,32833,93544,126377,,,,1,61,,78,,,78,2,314,2,97,67,39,,203,4,161,5902,,504,6406,1950,1241,709,2553,245813,936201
1965,1966,Altoona-Johnstown,,,,1,,,,,,,,145,3,11,144,,159,144,303,,21,558,119,119,,,17,1,69,14,55,,,,,,,,49,,,,2,101,23,67,,,,,150,2,964,877,,1841,5,1696,2116,3812,,,,,60,7462,7316,14778,,,,,,,,,,,,,,,,,,,7907,11316,39804,59,,,426,208,693,2,448,16889,51104,67993,,,,,,,,,,,1,108,1,18,23,,,41,2,130,3216,,399,3615,1379,905,474,1445,144900,626707
1965,1966,Amarillo,,,,1,,,,,,,,69,3,5,24,,77,24,101,4,5,175,53,52,1,,29,9,28,10,18,,,1,36,21,,,26,62,,,,,,,,,,,62,1,,7,,7,3,274,194,468,,,,,18,1888,2112,4000,,,,,,,,,,,,,,,,,,,1805,9864,16206,4,2,5,86,64,161,4,358,18134,10981,29115,,,,,,,,,,,1,36,1,30,20,21,,71,1,45,5785,,297,6082,940,822,118,537,78000,800000
1965,1966,Atlanta,,1,,,,1,,,1,,,43,3,2,97,,48,97,145,5,21,221,32,32,,,22,4,29,1,28,,,,,,,,41,,,,1,7,,,,,,,48,,,,,,3,516,705,1221,2,351,122,473,18,3168,3268,6436,1,119,,119,1,29,,29,,,,,,,,,,,1569,4763,14658,21,5,,160,139,325,3,533,21712,21053,42765,,,,1,75,,289,,,289,1,150,1,29,,,,29,,,1479,,314,1793,459,164,295,233,46525,2344845
1965,1966,Austin,,,,1,,,,,,,,91,3,3,60,,97,60,157,,148,235,78,77,1,,32,4,23,17,6,,,,,,,,46,46,,,,,,,,,,,46,1,740,,,740,2,159,168,327,2,327,164,491,28,3045,3081,6126,1,46,,46,,,,,,,,,,,,,,,4252,11436,23464,10,1,30,131,149,321,6,632,23431,11914,35345,,,,1,50,,217,,20,237,,,,,,,,,1,100,4120,,382,4502,969,722,247,869,129825,820109
1965,1966,Baker,,,,1,,,,,,,,41,2,2,8,,45,8,53,1,,143,29,29,,,34,2,15,6,9,,,,,,,,33,33,,,,,,,,,,,33,,,,,,,,,,2,124,151,275,2,191,157,348,4,549,574,1123,,,,,,,,,,,,,,,1625,4409,7813,,,,82,7,89,5,434,15205,20745,35950,,,,,,,,,,,1,18,,,,,,,2,96,721,,165,886,205,88,117,227,24417,271175
1965,1966,Baltimore,1,,,,1,,,,,,,314,12,13,357,,339,357,696,3,189,3145,133,132,1,,21,2,177,16,161,,,3,155,880,,,28,,,,8,358,,,,,,,541,6,3612,2461,,6073,21,2903,2450,5353,14,3203,5055,8258,107,29406,29277,58683,7,571,1029,1600,1,59,66,125,2,227,,,,,,,,,7677,18792,107329,175,14,87,1259,835,2370,5,1347,55726,263536,319262,,,,3,424,,716,,39,755,3,704,2,118,90,193,,401,3,385,12791,,1427,14218,3834,2066,1768,4165,479679,2233460
1965,1966,Baton Rouge,,,,1,,,,,,,,73,1,6,62,,81,62,143,3,23,310,63,62,1,,27,2,17,7,10,,,1,52,,,,56,108,,,,,,,,,,,108,,,,,,7,585,766,1351,2,425,438,863,32,6725,6654,13379,1,,215,215,,,,,,,,,,,,,,,8314,12360,36500,,,13,203,364,580,3,443,29511,19534,49045,,,,1,351,,313,,140,453,1,50,1,30,,,,30,,,4582,,276,4858,1178,775,403,969,172810,491434
