Year,Year_OCD,Diocese,Bishop/Bp,Auxillary Bishops/AuxBp,Bishop:retired/Bp:Ret,Cardinal/Cd,Cardinal retired/Cd:Ret,Archbishop/ABp,Archbishop retired/ABp:Ret,Abbots/Abts,Abbots retired/Abts:Ret,Priest:Diocesan Active in Diocese/Pr:DADio,Priest:Active Outside Diocese/Pr:AOtDio,"Priest:Retired, sick or absent/Pr:Ret/Sk/Abs",Priest: Diocesan In Foreign Missions/Pr:DioForMsn,Religious Priests resident in diocese/RPrResDio,Priest: Diocesan In Foreign Missions/Pr:frgnms,Pr:D,Pr:R,Pr:Tot,Priests from other dioceses/PrOthDio,Total Brothers/TotBr,Brothers in foreign missions/Br:frgnms,Total Sisters/TotSis,Sisters in foreign missions/Sis:frgnms,Parishes/Prsh,With Resident Pastor/WResPstr,Non-resident Pastor/Non-ResPstr,Missions/Ms,Stations/Stns,Chapels/Chpls,With Resident Chaplain(Chapels)/WResChap,Non-resident Chaplain(Chapels)/Non-resChap,"Seminaries, Diocesan",Stdnts from this diocese,Stdnts from other diocese,Stdnts of dioc In other Seminaries,"Seminaries,Religious, or Scholasticates","Stdnts,Religious",Diocesan Students from this diocese,Diocesan Students from other dioceses,TotSemnr,Colleges and Universities,Men,Women,Total Students (college and univ),"HS,Diocesan and Parochial",Boys,Girls,Total Students (high school),"HS,Private","Boys(HS,Private)","Girls(HS,Private)",Total Students (private hs),"ElmS,Parochial","Boys(ElmS,Parochial)","Girls(ElmS,Parochial)",Total Students (paroch elem),"ElmS,Private","Boys(ElmS,Private)","Girls(ElmS,Private)",Total Students (priv elem),Special Schools(retarded),boy students,girl students,total students,Institutional Schools,Boys(Institutional Schools),Girls(Instititutional Schools),Total Students(Instititutional Schools),Protective Institutions,Total students(Protective Inst),High School Students(Public School Pupils in Special Religious I,Elementary Students(Public School Pupils in Special Religious In,TotStdntsunder Catholic Instruction,"""Priests,Teaching (full time)""","""Scholastics, Teaching""","""Brothers,Teaching""","""Sisters,Teaching""",Lay Teachers,Total Teachers in diocese,General Hospitals,Bed capacity,Basinets,In-Patients treated annually,Out-Patients treated annually,TotalPatients(General Hospitals),Special Hospitals or Sanatoria,Beds(SpecialHospitals or Sanatoria),In-Patients (annual),Out-Patients (annual),Total Patients (special hosp),SchlsforNurses,Student nurses,HomesforDependent Children,Resdnt Boys,Resdnt Girls,Children in foster homes,Total Dependent Children,Maternity Founding Home,Guests,Babies,Total Patients(Maternal/FndHome),Homes for invalid and aged,Guests(Homes for Invalid),Infant Baptisms/InfBapt,Converts/Cnvrt,Total Baptisms/TotBapt,Marriages,Marriages: Catholic/Mar:Cath,Marriages: Interfaith/Mar:Inter(mix),Total Marriages/TotMar,Deaths/Dth,Total Catholic Population/TotCath,Total Population/TotPop
1970,1971,Albany,1,1,,,,,,,,382,31,44,,175,,457,175,632,26,115,,1841,,210,207,3,37,1,197,25,172,1,19,,49,5,280,16,118,348,3,1712,1242,2954,13,2999,3660,6659,8,1620,1388,3008,90,13285,14387,27672,5,205,308,513,,,,,8,482,594,1076,1,261,15196,52809,110496,47,,58,796,563,1464,4,1002,,37479,122025,159504,5,290,357,,357,2,170,4,276,409,51,736,,,,,6,635,9893,517,10410,3956,2517,1439,,4789,423089,1318090
1970,1971,Alexandria,1,,,,,,,,,102,11,14,,56,,127,56,183,2,13,,265,,85,83,2,59,5,59,4,55,,,,20,,,,,20,,,,,6,598,738,1336,2,355,441,796,30,4115,4028,8143,,,,,,,,,,,,,2,244,3333,7249,21121,18,,12,151,250,431,6,894,,46119,35727,81846,,,,,,,,,,,,,1,61,58,119,1,110,2199,429,2628,886,404,482,,1236,73451,1039610
1970,1971,Allentown,1,,,,,,,,,245,3,49,,102,,297,102,399,9,45,,925,,151,148,3,25,8,140,18,122,,,,111,4,127,13,,238,2,520,305,825,9,2938,3404,6387,2,,140,140,93,10713,11145,21858,,,,,,,,,3,85,70,155,,,5680,11232,46515,36,,9,700,370,1115,3,911,,31605,164868,196473,,,,,,2,288,2,,,,135,,,,,4,342,5910,353,6263,2763,1516,1247,,3082,252000,967000
1970,1971,Altoona-Johnstown,1,,,,,,,,,152,3,8,,92,,163,92,255,,66,,465,,119,119,,17,,71,14,57,,,,83,1,35,39,78,118,2,1001,1057,2058,3,1317,1581,2898,,,,,42,5560,5463,11023,,,,,,,,,,,,,,,8697,13374,38168,46,,,321,340,707,2,450,,16599,106195,122794,,,,,,2,148,1,16,14,,30,,,,,2,176,2903,343,3246,1601,937,664,,1607,149814,646135
1970,1971,Amarillo,1,,,,,,,,,64,5,7,,18,,76,18,94,,,,100,,56,55,1,26,4,15,5,10,,,,13,,,,,13,1,,,9,2,188,161,349,,,,,13,1142,1100,2242,,,,,,,,,,,,,,,2504,8398,13515,6,,,58,57,121,4,460,,14382,93211,23593,,,,,,,,1,28,15,9,52,,,,,1,52,3285,158,3443,982,726,256,,419,59635,683611
1970,1971,Anchorage,1,,,,,,,,,11,6,4,,17,,21,17,38,6,1,,35,,15,15,,6,5,1,1,,,,,5,,,,,5,,,,,,,,,1,57,53,110,1,51,44,95,,,,,,,,,,,,,,,613,2535,3358,,1,1,10,15,28,2,175,,13426,31171,44417,,,,,,,,,,,,,,,,,,,460,63,523,137,36,101,,79,35228,158598
1970,1971,Atlanta,1,,,,,,,1,,59,4,1,,56,,64,56,120,4,19,,159,,35,35,,21,5,28,3,25,,,,22,1,4,,,26,,,,,2,495,651,1146,1,556,,556,15,2627,2604,5231,1,179,,179,,,,,1,19,5,24,,,2613,7558,17333,21,3,,96,179,299,3,568,,27153,76499,103652,1,75,275,,275,1,96,1,24,12,,36,,,,,,,1673,268,1941,670,182,488,,300,56202,2592600
1970,1971,Austin,1,,,,,,,,,85,4,4,,48,,93,48,141,7,52,,186,,81,79,2,31,10,55,16,39,,,,18,,,,,18,1,729,274,1003,1,98,130,228,1,40,54,94,21,2121,2037,4158,,,,,,,,,,,,,,,3931,10727,20159,12,,45,95,141,293,6,620,,24707,16218,40925,1,40,268,,268,,,,,,,,,,,,2,345,3120,350,3470,1024,644,380,,871,135737,928922
1970,1971,Baker,1,,,,,,,,,44,5,2,,6,,51,6,57,2,,,148,,32,32,,30,3,13,6,7,,,,8,,,,,8,,,,,,,,,1,76,70,146,3,194,196,390,2,265,287,552,,,,,,,,,,,1928,4245,7269,,,,32,9,41,5,393,,16117,34166,50283,,,,,,,,,,,,,,,,,2,113,598,117,715,283,104,179,,255,24818,272300
1970,1971,Baltimore,,2,,1,,,,,,307,15,53,,455,,375,455,830,7,125,,2519,,143,143,,18,5,2,2,,2,150,531,17,4,91,,,258,4,3669,2545,6214,12,3326,3398,6724,14,3269,4027,7296,95,23516,23710,47226,12,1059,1355,2414,,,,,,,,,,,6432,35562,112126,230,27,97,1253,1400,3007,6,1678,,180734,362091,542825,4,680,1619,30,1649,5,615,2,118,74,346,538,,,,,2,577,9878,931,10809,6770,3896,2874,,4473,404745,2332701
