Year,Year_OCD,Diocese,Bp,AuxBp,Bp:Ret,Cd,Cd:Ret,ABp,ABp:Ret,Abts,Abts:Ret,Pr:DADio,Pr:AOtDio,Pr:Ret/Sk/Abs,Pr:DioForMsn,RPrResDio,Pr:frgnms,Pr:D,Pr:R,Pr:Tot,PrOthDio,TotBr,Br:frgnms,TotSis,Sis:frgnms,Prsh,WResPstr,Non-ResPstr,Ms,Stns,Chpls,WResChap,Non-resChap,"""Seminaries, Diocesan""",Students from this diocese,Students from other diocese,Students of dioc In other Seminaries,"""Seminaries,Religious, or Scholasticates""","""Students,Religious""",Diocesan Students from this diocese,Total Seminarians,Colleges and Universities,Men,Women,Total Students (college and univ),"""High Schools,Diocesan and Parochial""",Boys,Girls,Total Students (high school),"""High Schools,Private""",. Boys,. Girls,Total Students (private hs),"""Elementary Schools,Parochial""",Total Students (paroch elem),"""Elementary Schools,Private""",Total . Boys,Total . Girls,Total Students (priv elem),Protective Institutions,Total Students,"""High School Students,Public School Pupils in Special Religious",Elementary Students,Total Students under Catholic Instruction,"""Priests,Teaching (full time)""","""Scholastics, Teaching""","""Brothers,Teaching""","""Sisters,Teaching""",Paid Lay Teachers,Total Teachers in diocese,General Hospitals,Bed capacity,In-Patients treated annually,Out-Patients treated annually,Total Patients,Special Hospitals or Sanatoria,. Beds,In-Patients (annual),Out-Patients (annual),Total Patients (special hosp),Schools for nurses,Student nurses,Homes for Dependent Children,Resident Boys,Resident Girls,Children in foster homes,Total Dependent Children,Homes for invalid and aged,Guests,InfBapt,Cnvrt,TotBapt,Mar:Cath,Mar:Inter,TotMar,Dth,TotCath,TotPop
1975,1976,Albany,1,,1,,,,,,,348,28,77,2,217,32,453,249,702,7,125,5,1245,40,207,207,,54,,2,,2,,,,26,6,81,,107,3,1555,1578,3133,11,2356,2744,5100,5,976,725,1701,70,18505,5,441,206,647,2,259,18531,39741,87724,17,,46,453,754,1270,4,1064,72950,103616,176566,,,,,,1,49,1,60,68,65,193,6,780,8062,502,8564,2047,1323,3370,5155,390129,1472684
1975,1976,Alexandria,1,,1,,,,,,,94,16,13,,43,2,123,45,168,2,15,1,210,1,85,83,2,64,5,21,4,17,,,,23,,,,23,,,,,5,664,709,1373,2,404,395,799,25,6382,,,,,2,310,2589,6571,18047,8,,11,127,295,441,4,1055,51033,73742,124775,,,,,,,,,,,,,2,145,1630,336,1966,412,583,995,732,73500,1083132
1975,1976,Allentown,1,,,,,,,,,257,9,39,,118,6,305,124,429,6,30,,1031,21,152,148,4,20,,140,25,115,,,,80,4,117,20,197,2,561,463,1024,9,2819,3118,5937,1,,113,113,80,16640,,,,,,,4461,13073,41445,84,,2,527,538,1151,3,750,30756,164547,195303,2,265,,,307,2,280,,,,127,127,,,4001,197,4198,1278,961,2239,2823,261333,999400
1975,1976,Altoona-Johnstown,1,,,,,,,,,157,1,11,,95,11,169,106,275,,23,2,275,13,120,120,,16,,72,14,58,,,,28,1,22,13,50,2,1190,965,2155,3,980,1156,2136,,,,,42,8514,,,,,,,7640,12942,33437,39,,,206,312,557,2,447,15842,232271,248113,,,,,,1,75,1,6,5,,11,2,174,2465,347,2812,812,632,1444,1481,145569,627403
1975,1976,Amarillo,1,,,,,,,,,61,4,4,,17,2,69,19,88,1,1,,150,2,60,59,1,27,10,14,2,12,,,,8,,,,8,,,,,2,195,196,391,,,,,12,1899,,,,,,,2909,9122,14329,4,1,,48,78,131,2,418,17378,7408,24786,,,,,,,,1,10,15,4,29,1,52,2722,141,2863,613,205,818,407,75819,750000
1975,1976,Anchorage,,,,,,,,,,8,3,3,,11,,14,11,15,6,2,,27,,18,17,1,7,7,7,3,4,,,,9,,,,9,,,,,,,,,,,,,1,116,,,,,,,606,2720,3451,,,,8,2,10,2,175,11512,50281,61793,,,,,,,,,,,,,,,412,44,456,57,69,126,58,25000,175000
1975,1976,Arlington,1,,,,,,,1,,69,3,6,,94,,78,94,172,10,26,,220,,52,50,2,5,2,3,,3,,,,68,,,,68,1,,610,610,2,1229,807,2036,2,,496,496,21,8334,5,289,370,659,,,4466,17788,34457,21,,,190,399,610,,,,,,,,,,,,,,,,,,,,3375,346,3721,398,669,1067,670,153800,1200000
1975,1976,Atlanta,,,,,,1,,1,,68,4,5,2,62,,77,62,139,3,28,,189,,46,46,,19,2,28,3,25,,,,18,1,,,18,,,,,1,510,556,1066,1,646,,646,14,4633,,,,,1,48,3048,7758,17217,12,,1,86,219,318,2,298,13209,56814,70023,1,54,200,,200,,,1,37,11,,48,,,1642,470,2112,210,486,696,324,63250,2500000
1975,1976,Austin,1,,1,,,,,,,81,13,9,,55,1,103,56,159,17,40,,210,,80,80,,34,10,48,14,34,,,,11,,,,11,1,799,563,1362,1,155,177,332,,,,,15,3707,,,,,,,3738,10587,19737,4,,16,74,217,311,6,948,32956,22287,55243,1,40,241,,241,,,,,,,,2,350,2948,259,3207,485,391,876,721,140121,939600
1975,1976,Baker,1,,1,,,,,,,35,6,3,,11,,44,11,55,3,,,97,1,31,29,2,30,4,12,7,5,,,,25,,,,25,,,,,,,,,1,91,84,175,1,240,2,179,194,373,,,1353,3130,5296,,,,20,19,39,4,408,14992,69324,84316,,,,,,,,,,,,,2,151,573,145,718,87,137,224,248,24103,295060
