Year,Year_OCD,Diocese,PerCd,Cd:Ret,ABp,ABp:Ret,Bp,AuxBp,Bp:Ret,Abts,Abts:Ret,Pr:DADio,Pr:AOtDio,Pr:DioForMsn,Pr:Ret/Sk/Abs,RPrResDio,Pr:frgnms,Pr:D,Pr:R,Pr:Tot,PrOthDio,Ord:TrDeac,Ord:PrmDeac,TotBr,Br:frgnms,TotSis,Sis:frgnms,Prsh,WResPstr,WoResPstr,Ms,Stns,Chpls,WResChap,Non-resChap,"Educational Seminaries, Diocesan",Students From this Diocese,Students From Other Diocese,Diocesan Students in Other Seminaries,"Seminaries, Religious","Students, Religious",Diocesan students from this diocese,TotSemnr,College and Universities,Men,Women,Total Students (college and univ),"High Schools, Diocesan and Parish",Boys,Girls,Total Students (dioc hs),"High Schools, Private",Boys (priv hs),Girls (priv hs),Total Students (priv hs),"Elementary Schools, Diocesan and Parish",Total Students (dioc elem),"Elementary Schools, Private",. boys,. girls,Total Students (priv elem),Protective Institutions,Total Students (protective inst),Catechesis/Religious Education: High School Students,Catechesis/Religious Education: Elementary Students,Total Students Under Catholic Instruction,Teachers in the Diocese: Priests,Teachers in the Diocese: Scholastics,Teachers in the Diocese: Brothers,Teachers in the Diocese: Sisters,Teachers in the Diocese: Paid Lay Teachers,Total Teachers in diocese,General Hospital,Bed Capacity,In Patients treated Annually,Out-Patients treated annually,Total Patients,Special Hospital or Sanatoria,. Beds,In-patients treated (annual),out patients treated (annual),total patients (special hosp),Schools for nurses,Student Nurses,Homes for Dependent Children,Resident Boys,Resident Girls,Children in Foster Homes,Total Dependent Children,Homes for Invalid and aged,Guests,InfBapt,Cnvrt,TotBapt,Mar:Cath,Mar:Inter,Total Marriages,Dth,TotCath,TotPop
1980,1981,Albany,,,,,1,,1,,,318,19,1,70,190,32,407,222,629,,7,35,94,6,1362,,201,194,7,48,2,2,,2,,,,24,,,,24,3,1718,2552,4270,9,1820,2163,3983,4,1043,757,1800,62,16015,1,,200,200,2,200,19200,35000,80692,7,,7,240,624,878,5,1109,42462,293818,336280,,,,,,2,300,4,287,390,40,717,7,1760,7293,,,1917,146,2063,4805,408648,1472684
1980,1981,Alexandria-Shreveport,,,,,1,1,1,,,88,14,,14,40,2,116,42,158,3,1,2,16,,219,,84,78,6,55,11,47,4,43,,,,17,,,,17,,,,,5,702,760,1462,2,391,282,673,24,6555,,,,,2,306,1892,6339,17244,4,,13,98,369,484,4,1310,56538,120335,176873,,,,,,,,,,,,,2,180,1875,424,2299,345,465,810,888,83847,1083132
1980,1981,Allentown,,,,,1,,,,,250,9,,48,102,5,307,107,414,4,8,,29,,920,19,152,148,4,20,,140,25,115,,19,,59,4,54,,113,2,659,987,1646,9,2357,2695,5052,1,,109,109,72,14524,,,,,,,3509,12031,36984,78,,2,440,680,1200,3,770,31426,520875,552301,,,,,,1,90,,,,200,200,2,265,4266,213,4479,1089,860,1949,2844,259449,1000000
1980,1981,Altoona-Johnstown,,,,,1,,,,,161,6,,10,96,8,177,104,281,,,1,18,1,220,16,120,119,1,16,,72,14,58,,,,25,,,,25,2,1024,1146,2170,3,907,990,1897,,,,,31,7688,,,,,,,7502,12768,32050,30,,6,133,425,594,2,410,14578,291345,305923,,,,,,1,85,,,,,,2,171,2554,330,2884,707,574,1281,1544,150602,654338
1980,1981,Amarillo,,,,,1,,,,,50,4,,10,21,1,64,22,86,4,2,32,2,,165,2,64,60,4,32,1,10,2,8,,,,13,,,,13,,,,,1,66,75,141,,,,,12,2113,,,,,,,3790,8673,14730,1,,,31,87,119,2,451,20439,23648,44087,,,,,,,,1,12,10,,22,1,52,3642,197,3839,533,251,784,512,89808,800000
1980,1981,Anchorage (Archdiocese),,,1,,,,,,,17,3,,1,16,,21,16,37,3,1,,3,,41,,18,18,,10,6,6,1,5,,,,4,,,,4,,,,,,,,,,,,,2,222,,,,,,,879,2353,3458,,,,8,3,11,1,250,11633,32253,43886,,,,,,,,,,,25,25,,,568,111,679,71,81,152,79,16550,175000
1980,1981,Arlington,,,,,1,,,,1,72,5,,5,105,,82,105,187,10,1,32,15,,282,,56,56,,7,,,,,,,,45,,,,45,1,,1174,1174,2,1270,879,2149,2,,548,548,24,8962,4,304,329,633,,,4836,18790,37137,17,2,1,123,433,576,,,,,,,,,,,,,,,,,,,,3580,445,4025,528,754,1282,845,173632,1319700
1980,1981,Atlanta (Archdiocese),,,1,,,,,1,,75,4,1,10,96,2,89,98,187,14,4,6,36,,192,2,52,52,,20,3,34,12,22,,,,31,1,8,,39,,,,,1,365,478,843,1,530,338,868,13,4525,,,,,1,32,4792,12017,23116,13,1,1,57,273,345,2,439,16912,66903,83815,1,54,236,,236,,,,,,,,,,2226,569,2795,319,675,994,449,106955,3305450
1980,1981,Austin,,,,,1,,1,,,84,10,,8,55,1,102,56,158,,,6,32,,178,,80,78,2,31,2,48,14,34,,,,21,,,,21,1,1285,1037,2322,1,115,136,251,,,,,15,3256,,,,,,,3938,13343,23131,4,,16,50,261,331,6,1087,42150,39997,82147,,,,,,,,,,,,,1,420,4103,409,4512,638,452,1090,1015,138665,996129
1980,1981,Baker,,,,,1,,1,,,39,4,1,3,10,,46,10,56,5,1,,,,88,1,29,29,,31,11,12,7,5,,,,7,,,,7,,,,,1,50,50,100,,,,,4,704,,,,,,,1525,2858,5194,,,,11,26,37,4,393,18277,95312,113589,,,,,,,,,,,,,1,95,785,208,993,120,146,266,265,28055,354100
