Year,Year_OCD,Diocese,Cd,Cd:Ret,ABp,ABp:Ret,Bp,AuxBp,BpRes,BpExld,Bp:Ret,Abts,Abts:Ret,Pr:DADio,Pr:AOtDio,Pr:Ret/Sk/Abs,DPr:ForMs,RPrResDio,RPr:frgnms,Pr:D,Pr:R,Pr:Tot,PrOthDio,Ord:TrDeac,Ord:PrmDeac,TotBr,Br:frgnms,TotSis,Sis:frgnms,Prsh,WResPstr,Non-ResPstr,Ms,Stns,Chpls,WResChap,Non-resChap,Sem:D,StdntDio,StdntOthDio,"Students of dioc in other seminaries(Seminaries, Diocesan)",Sem:R,Sem:StdntR,Sem:StdnDio,Sem:StdntOthDio,TotSemnr,Coll/Univ,M:Coll/Univ,W:Coll/Univ,Coll/Univ:TotStdnt,HS:D/Prsh,HS:D/Prsh:Boys,HS:D/Prsh:Girls,HS:D/Prsh:TotStdnt,HS:Prvt,B:HS:Prvt,G:HS:Prvt,HS:Prvt:TotStdnt,"Elementary Schools, Parochial","Total Students(Elementary Schools, Parochial)",ElSch:Prvt,B:ElSch:Prvt,G:ElSch:Prvt,ElSch:Prvt:TotStdnt,PrtctvInst,PrtctvInst:TotStdnt,Public School Pupils in Special religious Instruction Classes,High School Students(Public School Pupils),Elementary Students(Public School Pupils),RE:TotStdnt,"Priests, Teaching (full time)",Tchrs:Schlstics,Tchrs:Br,Tchrs:Sis,Paid Lay teachers,Total teachers in diocese,Hsp,Hsp:Bedcap,Hsp:Inpat:anual,Hsp:Outpat:anual,Total Patients(General Hospitals),SpecHsp:Sanat,SpecHsp:Sanat:Bed capacity,SpecHsp:Sanat:Inpat:anual,SpecHsp:Sanat:Outpat:anual,SpecHsp:Sanat:Totpat,Schools for nurses,Student nurses(Schools for nurses),Home for Dependent Children,Resident Boys(Home for Dependent Children),Resident Girls(Home for Dependent Children),Children in Foster Homes(Home for Dependent Children),Total Dependent Children(Home for Dependent Children),Homes for invalid and aged,Guests(Homes for invalid and aged),InfBapt,Cnvrt,TotBapt,Mar:Cath,Mar:Inter,TotMar,Dth,TotCath,TotPop
1985,1986,Albany,,,,,1,,,,,,,298,20,67,2,160,32,385,192,577,3,2,60,88,6,1240,40,201,193,8,48,,,,,,,,15,,,,,15,4,3300,3300,6600,13,2203,2203,4406,,,,,55,12939,,,,,2,200,,10480,27991,62631,6,,35,155,689,885,4,1135,42550,362430,404980,,,,,,1,67,4,278,279,58,615,7,1000,7091,,7091,5382,5381,10763,4924,408648,1472684
1985,1986,Alexandria-Shreveport,,,,,1,,,,2,,,78,18,18,1,35,3,114,38,152,3,3,3,10,,192,1,83,76,7,48,5,40,4,36,,,,15,,,,,15,,,,,5,674,750,1424,2,337,260,597,23,5897,,,,,2,320,,2261,6508,17022,3,,8,59,426,496,3,1304,52672,98826,151498,,,,,,,,,,,,,2,236,1719,363,2082,357,368,725,936,85894,1083132
1985,1986,Allentown,,,,,1,,,,1,,,249,11,51,,92,5,311,97,408,6,4,32,20,1,852,19,153,145,8,20,,140,25,115,,,,48,4,50,11,,98,2,978,978,1956,9,2233,2234,4467,1,,90,90,64,13902,,,,,,,,2265,10102,32880,35,,,212,616,863,3,781,28750,505309,534059,,,,,,1,65,,,,83,83,1,194,3918,184,4102,1087,825,1912,2953,253481,1027302
1985,1986,Altoona-Johnstown,,,,,1,,,,,,,159,3,20,,86,9,182,95,277,,5,5,19,,169,21,122,119,3,17,11,72,14,58,,,,21,,,,,21,2,1025,1120,2145,3,839,798,1637,,,,,37,7251,,,,,,,,5443,10620,27117,15,,4,82,397,498,2,386,12057,98251,110308,,,,,,1,42,,,,,,2,171,2285,345,2630,629,472,1101,1630,147357,654338
1985,1986,Amarillo,,,,,1,,,,,,,27,10,2,,15,,39,15,54,1,1,20,1,,145,,27,25,2,11,3,18,2,16,,,,11,1,22,,,33,,,,,1,65,77,142,,,,,8,1277,,,,,,,,1698,4261,7411,1,,,22,72,95,1,356,11376,10408,21784,,,,,,,,1,6,10,,16,1,52,1235,130,1365,199,104,303,236,32129,360500
1985,1986,Anchorage,,,1,,,,,,,,,19,2,4,,21,,25,21,46,2,,11,8,,49,,19,18,1,4,15,3,2,1,,,,1,,,,,1,,,,,,,,,,,,,2,271,,,,,1,5,,923,2846,4046,,,,5,10,15,1,250,11639,24019,35658,,,,,,,,,,,,,1,216,741,101,842,83,120,203,104,26647,300000
1985,1986,Arlington,,,,,1,,,,,1,2,84,5,5,,109,,94,109,203,12,6,61,20,,279,,58,58,,6,,2,2,,,,,38,,,,,38,2,435,1899,2334,3,1715,1331,3046,2,,503,503,26,8742,3,239,303,542,,,,4763,18083,38051,17,1,2,104,553,677,,,,,,,,,,,,,,,,,,,,4461,428,4889,755,806,1561,869,205148,2000000
1985,1986,Atlanta,,,1,,,,,,,1,1,84,10,7,,111,1,101,112,213,13,,19,27,1,158,3,63,63,,16,12,27,7,20,,,,9,1,,,,9,,,,,1,390,484,874,1,536,381,917,13,4427,,,,,1,46,,3929,13381,23583,12,,2,31,311,356,2,497,22922,78484,101406,1,48,230,,230,,,,,,,,1,15,2694,686,3380,440,873,1313,524,132482,4450067
1985,1986,Austin,,,,,1,,,,1,,,87,11,5,,59,,103,59,162,12,2,36,35,,131,,86,85,1,31,2,44,12,32,,,,35,,,,,35,1,1319,1183,2502,1,91,94,185,1,50,54,104,15,3401,1,17,15,32,,,,4202,13751,24212,5,,15,51,351,422,6,1060,49032,69744,118776,1,75,1110,,1110,,,,,,,,2,475,4074,436,4510,621,417,1038,1193,138640,1335464
1985,1986,Baker,,,,,1,,,,,,,32,6,4,2,11,,42,11,53,3,1,1,2,,61,2,32,32,,26,10,14,8,6,,,,7,,,,,7,,,,,1,54,57,111,,,,,4,736,,,,,,,,909,2346,4109,,,,12,32,44,4,409,35016,107835,142851,,,,,,,,,,,,,1,93,686,150,836,117,134,251,281,29995,354100
