Year,Year_OCD,Diocese,PerCd,Cd:Ret,ABp,ABp:Ret,Bp,AuxBp,Bp:Ret,Abts,Abts:Ret,Pr:DADio,Pr:AOtDio,Pr:DioForMsn,Pr:Ret/Sk/Abs,TotDPr,TotRPr,TotPrDio,ExtPrDio,Ord:DPr,Ord:RPr,Ord:TrDeac,Ord:PrmDeac,PrmDeacDioTot,TotBr,TotSis,Prsh,PrshwResPstrD,PrshwResPstrR,PrshwoResPstr:Pr,PrshwoResPstr:Deac,PrshwoResPstr:Br,PrshwoResPstr:Sis,PrshwoResPstr:Tm,PrshwoResPstr:Lay,Ms,PstrCenter,WoResPstr:Vcnt,WoResPstr:NewPrshCreat,ClsdPrsh,ProfMnstry:Br,ProfMnstry:Sis,ProfMnstry:LayMin,Hsp,Hsp:TotAssist,HCCntr,HCCntr:TotAssist,HmAged,HmAged:TotAssist,ResCrChld,ResCrChld:TotAssist,DyCr/XDyCrCntr,DyCr/XDyCr:TotAssist,SpHms,SpHms:TotAssist,SpCntrSocSvcs,SpCntrSocSvs:TotAssist,ResCrDis,ResCrDis:TotAssist,OthInst,OthInst:TotAssist,Sem:D,StdntDio,StdntOthDio,DStdntOthSem,Sem:R,StdntR,TotSemnr,Coll/Univ,Coll/Univ:TotStdnt,HS:D/Prsh,HS:D/Prsh:TotStdnt,HS:Prvt,HS:Prvt:TotStdnt,ElSch:D/Prsh,ElSch:D/Prsh:TotStdnt,ElSch:Prvt,ElSch:Prvt:TotStdnt,NResSchDis,NResSchDis:TotStdnt,ConfratChristDoct:HSStdnts,RE:ElStdnt,RE:TotStdnt,Tchrs:Pr,Tchrs:Schlstics,Tchrs:Br,Tchrs:Sis,Tchrs:LayTchrs,InfBapt,AdltBapt,RcvdFullComm,TotBapt,FirstComm,Conf,Mar:Cath,Mar:Inter,TotMar,Dth,TotCath,TotPop
1990,1991,Albany,,,,,1,,,,,255,20,,64,339,155,494,,3,,1,,79,69,1168,196,165,22,6,,,1,,,65,,,,3,,,,4,535125,2,2000,7,775,2,150,3,300,5,265,28,125150,5,224,5,335,,,,15,,,15,3,8334,4,1851,3,1225,43,8994,1,191,,,9401,28997,59008,4,,24,83,552,5833,141,253,6227,5443,3746,1785,874,2659,4596,408659,1291534
1990,1991,Alexandria,,,,,1,,1,,,37,5,,20,62,16,78,2,,,,,8,4,64,48,31,7,8,,,2,,,27,5,,,,,,,1,40000,,,2,158,,,,,,,,,1,152,,,,,,11,,,11,,,3,2825,,,9,2825,,,,,989,4205,8611,1,,3,20,146,918,61,85,1064,916,594,162,138,300,635,48050,423400
1990,1991,Allentown,,,,,1,,1,,,240,9,1,38,288,79,367,1,3,1,2,28,61,14,850,153,136,5,12,,,,,,16,,,,,,,,3,614262,,,10,428,,,6,293,33,430,9,30526,,,1,550,,,,22,3,24,46,2,2361,9,3334,,,57,13421,,,3,183,1830,12514,33689,29,,,149,698,4346,155,,4501,,2635,1088,834,1922,2899,253595,1071600
1990,1991,Altoona-Johnstown,,,,,1,,1,,,134,9,,23,166,75,241,,,1,,,8,14,218,136,114,13,9,,,,,,13,,,,,,,,2,130862,,,2,166,,,,,,,2,15984,,,,,,,,11,,,11,2,3252,2,1214,,,33,5909,,,,,4616,9792,24794,5,,,33,390,1695,111,156,1962,1888,176,502,404,906,1337,127105,654737
1990,1991,Amarillo,,,,,1,,,,,38,6,1,7,52,7,59,5,,,2,,,1,156,33,32,1,3,,,1,,,,,,,,,,,1,46975,1,450,1,52,1,12,2,98,1,598,3,16292,,,1,2,,,,13,,,13,,,1,57,,,8,1196,,,,,1431,4143,6840,,,,27,78,1264,65,58,1387,691,577,208,136,344,276,37982,385800
1990,1991,Anchorage,,,1,,,,,,,13,4,1,5,23,15,38,6,,,,10,14,2,47,20,9,5,,,,5,,1,18,1,,,1,,,,1,150000,,,2,314,,,2,241,1,12,4,12716,,,,,,,,1,,,1,,,,,,,2,276,,,,,783,5416,6476,,,,3,13,634,53,44,731,562,277,94,93,187,95,22475,332373
1990,1991,Arlington,,,,,1,,,1,2,93,5,,11,109,84,193,9,6,1,9,,74,22,246,59,44,15,,,,,,,7,,,,,,,,,,,,,,,,5,369,2,6,1,24000,1,10,1,23,,,,56,1,,56,2,3112,3,2970,1,136,26,8855,2,386,1,19,4137,21419,41090,18,5,1,64,548,5308,576,806,6690,5031,4185,1044,954,1998,1132,256612,1892800
1990,1991,Atlanta,,,,1,1,,,1,1,72,5,,4,81,94,175,10,2,,1,12,110,17,151,64,43,21,,,,1,,,11,,,,,,,,3,164533,1,,3,43,1,27,,,,,3,5000,,,1,50,,,,26,,,26,,,1,999,1,943,13,4800,,,,,2930,16045,25743,2,,1,15,357,3500,700,,4200,2187,1468,492,820,1312,643,176000,3856000
1990,1991,Austin,,,,,1,,,,,103,8,1,11,113,64,177,2,1,1,1,,61,40,122,95,74,21,,1,,1,,,29,,,,,,,,7,173512,1,10000,1,38,1,143,,,,,,,,,,,,,,19,,,19,1,2980,1,182,1,210,16,3726,1,27,,,4917,17351,29412,4,,12,21,469,5306,360,527,6193,4025,2282,937,515,1452,1492,204384,1710443
1990,1991,Baker,,,,,1,,,,,29,5,1,7,42,9,51,2,1,,,,2,,43,35,26,6,3,,,,,,28,,,,,,,,4,253969,,,1,80,,,2,55,,,,,,,,,,,,4,,,4,,,,,,,4,515,,,,,911,2348,3778,,,,,26,708,98,72,878,449,221,93,108,201,357,28131,358700
1990,1991,Baltimore,,,1,1,,3,1,,,237,17,,85,339,351,690,3,6,6,3,,168,116,1444,154,124,30,1,1,,1,,,7,,3,,,,,,6,444263,,,11,1541,3,271,1,360,2,40,5,31787,13,241,1,119300,2,23,323,1,,,24,4,11221,12,2935,13,5788,72,21565,5,779,1,55,3430,31851,77648,77,,39,237,1576,9624,561,977,11162,7692,4741,2073,1627,3700,5420,541576,2660000
1990,1991,Baton Rouge,,,,,1,,,,,72,3,,23,92,52,150,3,3,,,3,25,11,129,73,51,20,,,,,,1,23,,,,,,,,1,108000,,,,,,,,,,,,,,,,,,,,10,,,10,,,6,1675,2,1150,29,11737,,,,,6137,11482,32191,,,7,48,721,3422,,,3422,3213,1704,808,420,1228,1625,213352,753194
1990,1991,Beaumont,,,,,1,,,,,43,6,,14,63,22,85,,1,,,,16,1,66,43,30,13,,,,1,,,9,2,,,,,,,2,229652,1,5558,,,,,1,400,1,5,1,128000,,,,,,,,7,,,7,,,1,521,,,7,1753,,,1,4,1728,8382,12395,1,,1,16,143,1412,158,147,1717,1554,779,274,218,492,831,87805,540100
1990,1991,Belleville,,,,,1,,1,,,113,3,1,29,146,37,183,5,1,,5,,26,11,343,129,97,7,25,,,,,,,1,,,,,,,7,261449,2,18853,7,738,,,3,304,,,3,33391,,,,,,,,15,,,15,1,1172,4,1544,,,43,7599,,,1,2,1954,6720,19006,6,,,29,461,1783,398,263,2444,18990,1954,541,559,990,1388,124076,861193
1990,1991,Biloxi,,,,,1,,,,,44,4,,14,62,35,97,13,1,,,,7,48,86,44,34,10,,,,,,,12,,,,,,,,,,,,5,700,,,1,131,,,2,10250,,,3,10000,,,,4,,,4,,,4,1060,1,582,14,2898,,,,,2701,3416,10661,,,6,22,214,1063,203,218,1484,1187,752,245,210,455,629,58131,641860
1990,1991,Birmingham,,,,,1,,,1,1,49,2,1,15,67,36,103,5,3,,,,20,13,177,75,38,16,15,,,1,,2,,,1,,,,,,2,148377,,,,,,,,,,,6,53144,,,1,63,,,,12,,,12,,,2,852,1,79,21,4244,1,187,1,123,1565,4577,11639,11,,3,41,301,1160,235,365,1760,1162,882,173,382,555,443,61727,2524258
1990,1991,Bismark,,,,,1,,,1,2,57,3,1,19,80,36,116,6,1,1,1,3,43,22,204,68,47,14,6,1,,,,,47,,,,2,,,,6,129681,,,6,584,,,,,1,65,,,,,1,7,,,,7,,1,8,1,1603,4,979,,,17,2496,,,,,2789,7957,15832,4,,,23,258,1545,67,155,1767,1734,1037,352,230,282,617,70521,273278
1990,1991,Boise,,,,,1,,2,,,68,7,2,26,103,20,123,4,4,,2,,29,7,118,116,66,10,38,,,2,,,38,,,1,,,,,5,281871,1,250,2,175,,,,,,,,,,,,,,,,14,,,14,,,1,486,,,12,2114,,,,,2679,7411,12704,1,,,4,119,1780,340,,2120,1714,736,312,298,610,728,72051,1011986
1990,1991,Boston,1,,,,,5,2,1,,760,74,23,192,1049,821,1870,24,11,5,13,11,180,221,3696,401,355,39,7,,,,,,6,,,1,1,,,,10,851930,17,77969,11,2273,2,1077,9,2034,13,1563,48,91870,6,195,6,5000,2,81,78,2,10,120,203,4,20375,23,7398,21,9036,127,32585,11,3139,6,303,28528,115015,216582,34,,41,448,2433,31670,549,520,32739,21393,15276,9584,2545,12129,18769,1927711,3783817
1990,1991,Bridgeport,,,,,1,,1,,,209,25,2,28,264,95,359,9,5,,2,5,68,5,647,90,85,5,,,,,,,2,,,,,,,,2,180026,8,960,,,,,13,250,9,62,19,143375,,,1,7250,1,11,16,,,,27,2,8064,6,3061,4,1147,40,8960,2,200,,,4060,22805,48324,14,,5,85,716,5934,118,155,6207,4338,3902,1914,427,2341,3269,343139,817900
1990,1991,Brooklyn,,,,,1,2,1,,,527,53,1,207,788,280,1068,92,6,,,14,139,205,1850,217,197,18,2,,,,,,5,,,,,,,,4,40100,4,158000,5,1218,9,7500,28,39000,15,1700,20,15800,9,670,,,2,216,,38,2,33,285,2,19677,4,2247,17,18796,159,57917,3,405,1,230,20100,44200,163859,9,,60,266,2475,25007,672,464,26143,15963,13086,6412,904,7316,14929,1545100,4252262
1990,1991,Brownsville,,,,,1,,,,,41,8,1,2,52,56,108,5,2,,,31,77,10,168,61,31,24,1,1,,2,,2,46,,,,,,,,,,1,12,2,1877,,,2,150,1,15,1,4800,,,1,80,,,,17,,,17,,,,,2,824,6,1805,2,289,,,7308,26474,36717,1,,6,17,138,7178,292,453,7923,6078,2232,1170,97,1267,2145,560701,701888
1990,1991,Buffalo,,,,,1,1,1,,,417,23,1,84,525,232,757,7,2,,3,6,79,56,1713,281,245,14,22,,,,,,10,18,,,,,,,9,451012,6,1309,12,1097,3,223,,,5,647,2,90000,,,,,2,23,20,10,,,33,6,13230,7,1706,10,3912,99,23718,5,814,,,12250,36578,92241,32,2,13,431,1662,9429,580,492,10501,7619,6705,2862,1397,4259,7849,772375,1552743
