Year,Year_OCD,Diocese,Cd,ABp,ABp:Ret,Bp,AuxBp,Bp:Ret,Abts,Abts:Ret,Priests: Pr:DADio,Pr:AOtDio,Pr:DioForMsn,Pr:Ret/Sk/Abs,TotDPr,TotRPr,ExtPrDio,Ord:DPr,Ord:RPr,Ord:TrDeac,Ord:PrmDeac,PrmDeacDioTot,TotBr,TotSis,Prsh,PrshwResPstrD,PrshwResPstrR,PrshwoResPstr:Pr,PrshwoResPstr:Deac,PrshwoResPstr:Br,PrshwoResPstr:Sis,PrshwoResPstr:Tm,PrshwoResPstr:Lay,Ms,PstrCenter,Completely Vacant,NewPrshCreat,Clsd Prsh,ProfMnstry:Br,ProfMnstry:Sis,ProfMnstry:LayMin,Hsp,Hsp:TotAssist,HCCntr,HCCntr:TotAssist,HmAged,HmAged:TotAssist,ResCrChld,ResCrChld:TotAssist,DyCr/XDyCrCntr,DyCr/XDyCr:TotAssist,SpHms,SpHms:TotAssist,SpCntrSocSvcss,SpCntrSocSvs:TotAssist,ResCrDis,ResCrDis:TotAssist,OthInst,OthInst:TotAssist,Sem:D,StdntDio,StdntOthDio,DStdntOthSem,Sem:R,StdntR,TotSemnr,Coll/Univ,TColl/Univ:TotStdnt,HS:D/Prsh,HS:D/Prsh:TotStdnt,HS:Prvt,HS:Prvt:TotStdnt,ElSch:D/Prsh,ElSch:D/Prsh:TotStdnt,ElSch:Prvt,ElSch:Prvt:TotStdnt,NResSchDis,NResSchDis:TotStdnt,RE:HSStdnt,RE:ElStdnt,RE:TotStdnt,Tchrs:Pr,Tchrs:Schlstics,Tchrs:Br,Tchrs:Sis,Tchrs:LayTchrs,InfBapt,AdltBapt,RcvdFullComm,FirstComm,Conf,Mar:Cath,Mar:Inter,TotMar,Dth,TotCath,TotPop,,,,,,,,,,,,,
1995,1996,Albany,,,,1,,,,,238,8,1,82,329,127,,3,,3,89,89,76,1016,189,158,21,8,,,2,,,37,,,1,2,2,42,31,4,560000,10,42000,8,1500,,,7,79,12,1140,22,149260,7,200,7,618,,,,13,,,13,4,4550,4,1923,3,1183,38,9328,2,418,,,8237,22653,48305,6,,19,86,617,5936,382,230,5781,4047,1617,771,2388,5100,403403,1315414,,,,,,,,,,,,,
1995,1996,Alexandria,,,,1,,,,,36,4,,24,64,0,8,2,,,,7,5,62,48,32,9,5,,,2,,,23,5,5,,,1,5,12,1,77195,1,188,2,164,,,,,,,16,122500,1,152,,,,,,15,,,15,,,3,500,,,9,2600,,,,,1415,3264,7802,,,3,19,187,717,101,107,824,554,174,114,288,648,48050,393397,,,,,,,,,,,,,
1995,1996,Allentown,,,,1,,,,,213,12,1,29,255,78,4,1,,4,22,84,11,690,153,127,5,21,,,,,,13,,,,,,,,3,683909,,,11,647,,,50,2009,12,376,14,52872,2,25,1,1641,,,,31,,,31,2,3423,9,4066,,,54,14242,1,10,3,160,2255,15297,39484,21,,,118,805,4010,197,283,3750,3750,848,680,1528,3226,256090,1084189,,,,,,,,,,,,,
1995,1996,Altoona-Johnstown,,,,1,,1,,,116,6,,37,159,63,,1,1,1,3,14,8,170,113,86,13,14,,,,,,5,,,10,31,,,,2,196744,,,3,236,,,,,,,2,45753,,,,,,,,14,,,14,2,7456,3,1275,,,31,5460,,,,,4750,9723,28678,6,,1,28,501,1768,112,194,1990,1867,535,374,909,1639,122434,646621,,,,,,,,,,,,,
1995,1996,Amarillo,,,,1,,,,,43,6,,15,64,8,2,2,,,,30,1,167,34,26,5,3,,,,,,,27,13,,,,4,2,1,7890,1,702,1,50,,,8,371,2,550,4,35000,,,1,3,,,,12,,,12,,,1,126,,,8,999,,,,,1752,2715,5604,,,,20,59,1134,118,121,1001,1694,235,93,328,268,40467,386547,,,,,,,,,,,,,
1995,1996,Anchorage (Archdiocese),,1,,,,,,,11,3,2,5,21,10,11,,,,,13,2,50,20,12,2,,,,5,,,18,,1,,,,,,1,212215,1,374,1,89,,,1,697,2,957,3,19198,,,,,,,,2,,,,,,,,,,2,362,,,,,1202,2755,,,,,3,22,680,77,47,643,298,78,70,148,114,27411,371580,,,,,,,,,,,,,
1995,1996,Arlington,,,,1,,,1,,112,9,,12,133,76,15,10,,10,,59,18,218,60,49,11,,,,,,,8,,,,,,,,,,,,,,,,7,552,,,1,2,,,,,,,,35,1,,35,2,4345,3,3232,1,161,30,10666,2,518,1,45,2904,22407,44313,10,1,1,60,705,5042,2032,,5538,4278,976,894,1870,1277,293664,2115700,,,,,,,,,,,,,
1995,1996,Atlanta (Archdiocese),,1,1,,,,1,2,93,12,,12,117,93,9,8,,9,14,119,3,112,67,49,18,,,,,,,23,1,,1,,2,23,90,1,120000,2,21000,3,70,,,1,55,2,88,6,141000,,,,,,,,58,,,58,,,1,1015,1,1020,13,5148,2,75,,,3784,23933,35033,4,,2,17,353,5037,97,811,4840,2984,703,1262,1965,813,212850,3923100,,,,,,,,,,,,,
1995,1996,Austin,,,,1,,,,,95,11,1,12,119,55,8,4,,1,30,107,44,110,89,67,26,,8,,,,,44,,,2,,,,1,4,120000,3,82000,2,650,1,240,3,190,1,175,1,140,,,1,4500,,,,15,,,15,1,3107,1,191,1,327,17,4207,1,40,,,5546,21360,34793,,,1,15,285,5907,593,1014,4661,3100,907,522,1429,1428,270000,1638245,,,,,,,,,,,,,
1995,1996,Baker,,,,1,,,,,24,3,1,10,38,7,,,,,,4,,30,36,23,5,7,1,,,,,28,,,,,,4,22,4,212023,,,1,142,,,3,140,,,,,,,,,,,,6,,,6,,,,,,,3,610,,,,,1340,2328,4284,,,,3,38,863,168,92,617,273,121,107,228,286,29485,398100,,,,,,,,,,,,,
