Year,Year_OCD,Year established,Diocese,Cd,Cd:Ret,ABp,ABp:Ret,Bp,AuxBp,Bp:Ret,Abts,Abbts:Ret,Pr:DADio,Pr:AOtDio,Pr:DioForMsn,Pr:Ret/Sk/Abs,TotDPr,TotRPr,ExtPrDio,TotPr,Ord:DPr,Ord:RPr,Ord:TrDeac,Ord:PrmDeac,PrmDeacDioTot,TotBr,TotSis,Prsh,PrshwResPstrD,PrshwResPstrR,PrshwResPstr:Tot,PrshwoResPstr:Pr,PrshwoResPstr:Deac,PrshwoResPstr:Br,PrshwoResPstr:Sis,PrshwoResPstr:Lay,PrshwoResPstr:Tm,PrshwoResPrTot,Ms,PstrCenter,ProfMnstry:Br,ProfMnstry:Sis,ProfMnstry:LayMin,Hsp,Hsp:TotAssist,HCCntr,HCCntr:TotAssist,HmAged,HmAged:TotAssist,ResCrChld,ResCrChld:TotAssist,DyCr/XDyCrCntr,DyCr/XDyCr:TotAssist,SpHms,SpHms:TotAssist,SpCntrSocSvcs,SpCntrSocSvs:TotAssist,ResCrDis,ResCrDis:TotAssist,OthInst,OthInst:TotAssist,Sem:D,StdntDio,StdntOthDio,DStdntOthSem,Sem:R,StdntR,TotSemnr,Coll/Univ,Coll/Univ:TotStdnt,Coll/Univ:AvgEnroll,HS:D/Prsh,HS:D/Prsh:TotStdnt,HS:Prvt,HS:Prvt:TotStdnts,HS:D/Prsh/Prvt,"HS:D/Prsh/Prvt,TotEnroll",HS:AvgEnroll,ElSch:D/Prsh,ElSch:D/Prsh:TotStdnt,ElSch:Prvt,ElSch:Prvt:TotStdnt,ElSch:D/Prsh/Prvt,ElSch:D/Prsh/PrvtTotEnroll,ElSch:AvgEnroll,NResSchDis,NResSchDis:TotStdnt,RE:HSStdnt,RE:ElStdnt,RE:TotStdnt,Tchrs:Pr,Tchrs:Scholastics,Tchrs:Br,Tchrs:Sis,Tchrs:LayTchrs,InfBapt,AdltBapt,RcvdFullComm,FirstComm,Conf,Convrt,TotBapt,Mar,Dth,TotCath,TotPop
1997,1998,,Albany,0,,1,,1,,,0,,235,12,72,,319,120,1,439,2,1,2,3,95,90,957,187,153,15,168,15,,,4,,,19,34,43,,,1202,4,600000,15,35000,10,1600,,,7,89,17,1500,22,179500,8,200,9,530,,,,11,,,11,4,4650,1162.5,4,1823,3,1192,7,3015,430.7142857,38,8939,2,424,40,9363,234.075,,,10194,33052,60285,8,,19,98,861,5859,384,0,5774,4059,0,0,2183,5204,403403,1340388
1997,1998,,Alexandria,0,,0,,1,,,0,,38,5,,23,66,16,8,82,3,,2,,7,3,62,48,32,10,42,5,,,1,,,6,23,1,1,10,11,1,131845,1,312,2,164,,,,,,,16,125650,1,152,,,,,,12,,,12,,,,3,570,,,3,570,190,9,2546,,,9,2546,282.8888889,,,1746,3116,7990,,,2,20,182,788,84,133,760,568,0,0,272,674,48050,393880
1997,1998,1/28/1961,Allentown,0,,0,,1,,,0,,207,9,1,30,247,75,3,322,3,,3,,84,11,690,153,127,5,132,21,,,,,,21,12,0,,,0,3,672650,1,1641,11,677,,,50,1988,3,844,14,71535,2,38,,,,,,28,,,28,2,3508,1754,9,4140,,,9,4140,460,55,14410,,,55,14410,262,3,126,1732,16546,40490,23,,,98,905,3980,181,415,0,3445,0,0,1529,3195,259729,1084189
1997,1998,5/27/1901,Altoona-Johnstown,0,,0,,1,,1,0,,115,5,,34,154,61,,215,1,,3,2,18,8,155,112,86,14,100,12,,,,,,12,5,0,,,0,2,219121,,,3,241,,,,,,,2,57904,,,,,,,,9,,,9,2,3953,1976.5,3,1194,,,3,1194,398,31,5537,,,31,5537,178.6129032,,,4794,9283,24770,5,,2,19,495,1613,139,173,1885,2443,0,0,845,1665,117493,645521
1997,1998,8/25/1926,Amarillo,0,,0,,1,,1,0,,46,5,,14,65,6,1,71,1,,,,45,1,148,35,29,3,32,3,,,,,,3,13,0,,5,13,1,22300,1,730,1,56,,,6,493,2,550,4,35000,,,1,4,,,,16,,,16,,,,1,134,,,1,134,134,8,1097,,,8,1097,137.125,,,1792,3708,6747,,,,15,104,1122,114,147,1047,1066,0,0,217,305,47387,369914
1997,1998,2/9/1966,Anchorage (Archdiocese),0,,1,,0,,,0,1,12,1,1,6,20,10,8,30,,,,,12,1,44,20,11,3,14,,,,3,2,1,6,8,0,,9,17,1,287000,1,380,2,189,,,,,2,4172,5,13600,,,,,,,,3,,,3,,,,,,1,60,1,60,60,2,347,1,140,3,487,162.3333333,,,899,2630,4079,,,,6,43,562,67,69,610,326,0,0,159,121,28723,384209
1997,1998,8/13/1974,Arlington,0,,0,,1,,,0,,120,8,2,12,142,76,16,218,3,,3,,50,16,215,62,52,10,62,,,,,,,0,6,0,,,0,,,,,,,,,,,,,7,30991,,,,,,,,32,,,32,2,3065,1532.5,3,3393,1,150,4,3543,885.75,32,12740,2,535,34,13275,390.4411765,1,56,9235,16910,46116,7,1,1,69,840,5250,1953,0,7702,4997,0,0,1811,1382,326398,2115700
1997,1998,7/2/1956,Atlanta (Archdiocese),0,,1,1,0,,,1,1,99,4,,8,111,99,8,210,5,,6,,136,1,123,69,54,15,69,,,,,,,0,22,3,,15,147,2,132736,2,20202,5,150,,,2,77,1,70,12,46500,,,,,,,,70,,,70,,,,1,1023,1,1025,2,2048,1024,12,4497,2,1361,14,5858,418.4285714,,,4731,27342,40049,2,,,8,364,6069,469,980,4111,3086,0,0,1633,789,292300,4896392
1997,1998,1/1/1948,Austin,0,,0,,1,,,0,,103,9,1,12,125,57,,182,2,,,,101,40,115,105,72,23,95,,9,,,1,,10,30,1,2,24,78,4,341863,3,64000,1,242,,,4,187,1,250,1,210,1,1900,,,,,,11,,,11,1,3101,3101,1,206,3,403,4,609,152.25,16,3507,1,39,17,3546,208.5882353,,,5559,22635,35461,5,,,13,302,6710,560,931,5594,3368,0,0,1476,1514,234487,1915392
1997,1998,5/19/1903,Baker,0,,0,,1,,,0,,22,3,1,13,39,8,2,47,1,,1,,5,0,34,35,22,6,28,7,,,,,,7,29,0,,7,19,4,231609,,,1,130,,,3,270,,,,,,,,,,,,5,,,5,,,,,,,,,,,3,589,,,3,589,196.3333333,,,926,2492,4012,,,,4,42,985,146,142,766,348,0,0,253,275,34811,413900
