Year,Year_OCD,Year established,Diocese,Cd,Cd:Ret,ABp,ABp:Ret,Bp,AuxBp,Bp:Ret,Abts,Abts:Ret,Pr:DADio,Pr:AOtDio,Pr:DioForMsn,Pr:Ret/Sk/Abs,Pr:D,Pr:R,ExtPrDio,Pr:Tot,Ord:DPr,Ord:RPr,Ord:TrDeac,Ord:PrmDeac,PrmDeacDioTot,TotBr,TotSis,Prsh,PrshwResPstrD,PrshwResPstrR,PrshwoResPstr:Pr,PrshwoResPstr:Deac,PrshwoResPstr:Br,PrshwoResPstr:Sis,PrshwoResPstr:Lay,PrshwoResPstr:Tm,Vacant,Ms,PstrCenter,NewPrsh,ClsdPrsh,ProfMnstry:Br,ProfMnstry:Sis,ProfMnstry:LayMin,Hsp,Hsp:TotAssist,HCCntr,HCCntr:TotAssist,HmAged,HmAged:TotAssist,ResCrChld,ResCrChld:TotAssist,DyCr/XDyCrCntr,DyCr/XDyCr:TotAssist,SpHms,SpHms:TotAssist,SpCntrSocSvcs,SpCntrSocSvs:TotAssist,ResCrDis,ResCrDis:TotAssist,OthInst,OthInst:TotAssist,Sem:D,StdntDio,StdntOthDio,DStdntOthSem,Sem:R,StdntR,TotSemnr,Coll/Univ,Coll/Univ:TotStdnt,HS:D/Prsh,HS:D/Prsh:TotStdnt,HS:Prvt,HS:Prvt:TotStdnt,ElSch:D/Prsh,ElSch:D/Prsh:TotStdnt,ElSch:Prvt,ElSch:Prvt:TotStdnt,NResSchDis,NResSchDis:TotStdnt,RE:HSStdnt,RE:ElStdnt,RE:TotStdnt,Tchrs:Pr,Tchrs:Schlstics,Tchrs:Br,Tchrs:Sis,Tchrs:LayTchrs,InfBapt,AdltBapt,RcvdFullComm,FirstComm,Conf,Mar:Cath,Mar:Inter,TotMar,Dth,TotCath,TotPop
1998,1999,,Albany,0,,0,1,1,,,0,,228,18,,78,306,118,,,3,,2,1,93,86,1001,186,146,12,18,1,,7,,,,34,43,,1,,,1327,4,655000,15,40000,10,1650,,,7,517,12,1225,22,145000,7,225,9,625,,,,9,,,9,4,4000,4,1658,3,1239,38,8794,2,440,,,18181,59805,94126,8,,11,62,639,4983,299,350,5041,3518,1214,413,1751,4454,403403,1340388
1998,1999,,Alexandria,0,,0,,1,,,0,,36,5,,25,66,16,8,,2,,2,,6,3,64,48,32,11,5,,,23,,,,23,1,,,1,9,11,1,145153,1,312,2,164,,,,,,,16,125650,1,152,,,,,,16,,,16,,,3,633,,,9,2745,,,,,1466,2975,7835,,,2,20,223,668,110,130,758,583,208,117,325,690,48050,401211
1998,1999,1/28/1961,Allentown,0,,0,,1,,1,0,,205,7,,32,244,74,3,,3,,1,,77,10,590,153,127,5,21,,,,,,,12,0,,,,,0,3,747375,1,1641,11,677,,,38,1494,3,820,14,72708,2,38,,,,,,32,,,32,2,3436,9,4302,,,56,14281,,,3,125,1865,16572,40613,24,,1,87,931,3979,184,400,0,3416,934,556,1490,3264,259847,1084189
1998,1999,5/27/1901,Altoona-Johnstown,0,,0,,1,,1,0,,116,5,,35,156,61,,,3,2,1,2,19,10,106,112,83,14,15,,,,,,,5,0,,,,,0,2,105802,,,3,269,,,,,,,2,61695,,,,,,,,9,,,9,2,4506,3,1177,,,30,4927,,,,,5072,8926,24617,7,,2,31,498,1560,112,246,2578,1960,469,331,800,1627,115210,647357
1998,1999,8/25/1926,Amarillo,0,,0,,1,,1,0,,45,4,,12,61,2,1,,,,1,,44,,148,35,32,2,1,,,,,,,13,0,,,,4,9,1,22300,1,730,1,56,,,6,356,2,550,4,35000,,,1,4,,,,8,,,8,,,1,120,,,8,966,,,,,1259,3550,5903,,,,11,93,1095,74,192,1070,1245,143,56,199,263,46356,393822
1998,1999,2/9/1966,Anchorage (Archdiocese),0,,1,,0,,,0,,12,1,1,5,19,9,9,,,,,,12,1,41,19,11,2,,,3,2,1,,,8,0,,,,14,33,1,287000,2,443,1,60,,,,,4,3495,5,14825,,,,,,,,4,,,4,,,,,1,112,2,343,1,74,,,942,3039,4514,,,,3,50,549,138,68,587,398,86,54,140,134,29307,389401
1998,1999,8/13/1974,Arlington,0,,0,,1,,,1,,123,7,1,14,145,77,16,,3,,7,,46,17,192,63,53,10,,,,,,,,6,0,,,,13,60,,,,,,,,,,,,,7,40365,,,,,,,,33,,,33,3,4049,3,3331,2,500,34,12808,1,188,1,88,3397,28585,52979,11,,,65,920,6654,784,514,6612,5238,1051,759,1810,1434,336123,2228575
1998,1999,7/2/1956,Atlanta (Archdiocese),0,,1,1,0,,,1,1,107,3,,11,121,99,14,,10,1,11,,136,1,121,69,55,14,1,,,,,,,22,2,,,1,16,147,2,110462,2,20210,5,152,,,2,90,1,71,12,40000,,,,,,,,62,,,62,,,1,1023,1,1025,12,4546,1,261,5464,28386,40767,28386,40767,2,,,14,369,6522,513,1160,5301,3598,790,850,1640,870,311000,4945355
1998,1999,1/1/1948,Austin,0,,0,,1,,,0,,96,7,1,13,117,51,,,2,,,48,149,38,118,95,75,20,22,,,,,,,30,1,,1,1,21,89,4,359290,3,75066,1,220,,,4,187,1,250,1,210,1,2850,,,,,,15,,,15,1,3422,2,277,2,402,15,3450,1,40,,,6963,23075,37644,,,,13,305,6820,603,914,5627,3775,1049,520,1569,1582,350000,1915392
1998,1999,5/19/1903,Baker,0,,0,,1,,,0,,21,4,1,14,40,8,9,,1,,,1,6,0,28,35,23,6,5,1,,,,,,29,0,,,1,6,17,4,214910,1,1622,1,269,,,5,312,,,,,,,,,,,,6,,,6,,,,,,,3,586,,,,,1056,2134,3782,,,,5,41,786,125,161,597,298,131,89,220,297,35588,417800
