Year,Year_OCD,Year established,Diocese,Cd,Cd:Ret,ABp,ABp:Ret,Bp,AuxBp,Bp:Ret,Abts,Abts:Ret,Pr:DADio,Pr:AOtDio,Pr:DioForMsn,Pr:Ret/Sk/Abs,TotDPr,TotRPr,ExtPrDio,Ord:DPr,Ord:RPr,Ord:TrDeac,Ord:PrmDeac,PrmDeacDioTot,TotBr,TotSis,Prsh,PrshwResPstrD,PrshwResPstrR,PrshwoResPstr:Pr,PrshwoResPstr:Deac,PrshwoResPstr:Br,PrshwoResPstr:Sis,PrshwoResPstr:Lay,PrshwoResPstr:Tm,Vacant,Ms,PstrCenter,NewPrsh,ClsdPrsh,ProfMnstry:Br,ProfMnstry:Sis,ProfMnstry:LayMin,Hsp,Hsp:TotAssist,HCCntr,HCCntr:TotAssist,HmAged,HmAged:TotAssist,ResCrChld,ResCrChld:TotAssist,DyCr/XDyCrCntr,DyCr/XDyCr:TotAssist,SpHms,SpHms:TotAssist,SpCntrSocSvcs,SpCntrSocSvs:TotAssist,ResCrDis,ResCrDis:TotAssist,OthInst,OthInst:TotAssist,Sem:D,StdntDio,StdntOthDio,DStdntOthSem,Sem:R,StdntR,TotSemnr,Coll/Univ,Coll/Univ:TotStdnt,HS:D/Prsh,HS:D/Prsh:TotStdnt,HS:Prvt,HS:Prvt:TotStdnt,ElSch:D/Prsh,ElSch:D/Prsh:TotStdnt,ElSch:Prvt,ElSch:Prvt:TotStdnt,NResSchDis,NResSchDis:TotStdnt,RE:HSStdnt,RE:ElStdnt,RE:TotStdnt,Tchrs:Pr,Tchrs:Schlstics,Tchrs:Br,Tchrs:Sis,Tchrs:LayTchrs,InfBapt,AdltBapt,RcvdFullComm,FirstComm,Conf,Mar:Cath,Mar:Inter,TotMar,Dth,TotCath,TotPop
2000,2001,,Albany,,0,,,1,0,1,,,198,14,,80,292,77,7,1,,,8,90,94,946,184,144,12,20,1,0,9,1,,0,34,,0,,2,100,1327,4,668100,15,51000,10,1314,,,7,517,12,1250,25,175000,7,225,9,625,0,0,,7,0,0,7,3,4000,4,1194,3,870,37,8555,2,12181,,,9273,31211,67291,6,,17,65,898,4623,143,324,5298,2963,1242,517,1759,5232,400000,1386200
2000,2001,,Alexandria,,0,,,1,0,,,,35,5,,23,63,16,9,,,2,,6,3,49,48,26,17,4,0,0,1,,,0,24,1,0,0,1,8,15,2,108490,,,2,164,0,0,,,,,18,92215,1,152,,,,0,0,17,,0,17,,,3,669,,,9,2501,,,,,1366,2649,7202,,,2,13,211,753,156,283,792,603,188,105,293,722,48050,401211
2000,2001,1/28/1961,Allentown,,0,,,1,0,1,,,185,13,1,45,244,66,5,3,,2,24,100,,505,153,114,5,34,0,0,,,,0,9,,0,0,,,,3,962822,1,32940,10,694,0,0,39,1593,2,2444,14,74010,11,68,,,0,0,0,24,0,0,24,2,3305,9,4140,,,53,13749,,,3,138,1444,17700,40500,11,,,78,910,3658,175,,4056,4270,693,476,1169,3210,264373,1125349
2000,2001,5/27/1901,Altoona-Johnstown,,0,,,1,0,1,,,112,5,,37,154,62,,1,2,2,6,30,6,89,103,84,12,7,0,0,,,,0,5,,0,7,,,,1,115851,1,200,3,267,0,0,,,,,2,57449,,,,,0,0,0,4,0,0,4,2,3993,3,1221,,,29,4733,,,,,4328,9066,23345,6,,,17,561,1512,133,229,1750,1818,428,319,747,1656,100651,641763
2000,2001,8/25/1926,Amarillo,,0,,,1,0,1,,,37,4,,23,64,6,1,1,,,,45,,132,35,26,4,3,2,0,,,,0,13,,0,0,,4,8,1,22300,1,750,1,56,0,0,3,170,2,550,4,35000,,,1,4,0,0,0,6,0,0,6,,,1,118,,,7,1085,,,,,1718,4380,7307,,,,8,87,1230,111,146,1363,1617,216,59,275,264,54208,401261
2000,2001,2/9/1966,Anchorage,,0,2,,,0,,,,11,,1,6,18,12,10,,,,,18,1,42,19,10,,,0,0,3,3,1,1,8,,0,0,,10,28,3,403479,2,462,1,60,0,0,,,6,3705,5,22091,,,,,0,0,0,6,0,0,6,,,,,1,115,2,348,1,79,,,938,3145,4625,,,,2,48,614,71,70,614,571,100,76,176,151,32364,370376
2000,2001,8/13/1974,Arlington,,0,,,1,0,,1,3,130,6,2,16,154,80,19,4,,7,,41,17,171,66,55,11,,0,0,,,,0,5,,1,0,,43,190,,,,,,,0,0,,,,,8,38624,,,,,0,0,0,34,0,0,34,4,4935,3,3474,2,576,34,13585,1,191,1,100,5122,30618,58635,9,,3,16,1065,7103,848,552,7072,5392,1090,859,1949,1463,353367,2317773
2000,2001,7/2/1956,Atlanta,,0,1,,,0,,1,2,127,10,1,8,146,70,11,12,,6,,137,1,119,77,62,15,1,0,0,,,5,0,21,1,2,0,1,21,119,2,244723,2,20176,5,275,,,,,1,106,33,40000,,,,,0,0,0,55,0,0,55,,,3,1479,1,1028,15,5309,2,860,,,5942,27216,41889,12,,2,2,412,7865,617,1192,5211,3701,1079,853,1932,975,250999,5241325
2000,2001,1/1/1948,Austin,,0,,,1,0,1,,,105,5,2,19,131,93,10,1,,,33,181,43,107,101,80,21,26,,,,,,0,26,1,1,0,,12,112,4,587487,4,80054,2,445,1,4000,4,200,1,300,1,240,1,3250,,,0,0,0,18,0,0,18,1,3669,2,274,2,461,15,3400,3,625,,,3200,17000,28647,4,,2,13,379,7337,629,992,5958,4167,1183,531,1714,1712,266838,2027192
2000,2001,5/19/1903,Baker,,0,,,1,0,1,,,22,2,1,12,37,6,10,1,,,8,15,1,28,36,25,2,9,0,0,,,,0,27,,0,0,,9,13,5,276384,,,1,110,0,0,3,286,,,7,25218,,,,,0,0,0,5,0,0,5,,,,,,,3,644,,,,,1417,2395,4461,,,,1,36,776,182,145,932,338,137,100,237,326,36179,425650
2000,2001,,Baltimore,1,0,1,1,4,2,,,,212,11,2,76,301,304,25,7,,5,8,184,74,1233,155,107,37,5,0,0,3,1,,2,9,,0,1,,,,6,1251895,,,21,1828,,,4,251,,,44,721081,,,1,12000,2,20,211,8,,0,28,3,11049,23,10510,12,7265,73,23374,9,1866,1,129,3184,25317,82722,17,,24,156,3069,8051,676,,8216,5684,1529,1061,2590,5315,486607,2870150
2000,2001,7/20/1961,Baton Rouge,,0,,,,,,,,64,1,,14,79,42,5,2,1,1,,26,12,114,70,52,10,7,0,0,,1,,0,,,0,0,3,14,81,2,212012,,,3,604,0,0,,,6,251,6,123285,,,,,0,0,0,7,7,0,7,1,1047,6,2713,2,1665,25,12406,,,1,34,5170,11530,34572,,,2,23,1002,3043,208,412,3030,2831,700,307,1007,1702,215929,831478
