Year,Year_OCD,Year established,ST,Diocese,Cd,Cd:Ret,ABp,ABp:Ret,Bp,AuxBp,Bp:Ret,Abts,Abts:Ret,Pr:DADio,Pr:AOtDio,Pr:DioForMsn,Pr:Ret/Sk/Abs,TotDPr,TotRPr,TotPriests,ExtPrDio,Ord:DPr,Ord:RPr,Ord:TrDeac,Ord:PrmDeac,PrmDeacDioTot,TotBr,TotSis,Prsh,PrshwResPstrD,PrshwResPstrR,PrshwoResPstr:Pr,PrshwoResPstr:Deac,PrshwoResPstr:Br,PrshwoResPstr:Sis,PrshwoResPstr:Lay,PrshwoResPstr:Tm,Vacant,Ms,PstrCenter,NewPrsh,ClsdPrsh,ProfMnstry:Br,ProfMnstry:Sis,ProfMnstry:LayMin,Hsp,Hsp:TotAssist,HCCntr,HCCntr:TotAssist,HmAged,HmAged:TotAssist,ResCrChld,ResCrChld:TotAssist,DyCr/XDyCrCntr,DyCr/XDyCr:TotAssist,SpHms,SpHms:TotAssist,SpCntrSocSvcs,SpCntrSocSvs:TotAssist,ResCrDis,ResCrDis:TotAssist,OthInst,OthInst:TotAssist,Sem:D,StdntDio,StdntOthDio,DStdntOthSem,Sem:R,StdntR,TotSemnr,Coll/Univ,Coll/Univ:TotStdnt,HS:D/Prsh,HS:D/Prsh:TotStdnt,HS:Prvt,HS:Prvt:TotStdnt,ElSch:D/Prsh,ElSch:D/Prsh:TotStdnt,ElSch:Prvt,ElSch:Prvt:TotStdnt,NResSchDis,NResSchDis:TotStdnt,RE:HSStdnt,RE:ElStdnt,RE:TotStdnt,Tchrs:Pr,Tchrs:Schlstics,Tchrs:Br,Tchrs:Sis,Tchrs:LayTchrs,InfBapt,AdltBapt,RcvdFullComm,FirstComm,Conf,Mar:Cath,Mar:Inter,TotMar,Dth,TotCath,TotPop
2006,2007,,NY,Albany,,,,,1,,,,,134,6,,85,225,102,327,11,,,3,2,105,81,778,165,120,13,11,2,,12,7,0,0,28,3,1,3,3,43,295,4,748500,15,61000,22,3030,4,975,5,460,12,1640,25,270000,11,400,9,946,,,0,9,,13,11,4,6400,4,1339,3,1308,31,5884,2,375,,,9401,29808,55092,0,0,6,32,635,4026,104,179,3957,3298,903,291,1194,4696,360000,1369408
2006,2007,,LA,Alexandria,,,,,1,,,,,36,5,,20,59,13,72,12,1,,2,,6,4,60,48,29,11,6,2,,,,,,24,1,,,,7,5,2,143919,,,1,114,0,0,,,,,18,140485,2,188,,,0,0,0,12,0,0,12,,,3,556,,,8,2361,,,,,1181,2141,6251,,,3,8,190,589,61,74,632,562,117,49,166,556,48050,386602
2006,2007,1/28/1961,PA,Allentown,,,,,1,,1,,,161,13,1,52,227,72,299,3,1,,1,,87,,397,151,148,3,,,,,,,,5,26,,,11,397,,3,608099,1,37755,11,2218,0,0,1,30,2,3890,13,56740,23,158,,,0,0,0,20,0,0,20,2,4969,9,3830,,,48,10646,,,3,125,,14210,33800,8,,,50,936,3567,147,3714,3670,3486,653,399,1052,3235,272640,1161932
2006,2007,5/27/1901,PA,Altoona-Johnstown,,,,,1,,,,,88,5,,40,133,61,194,,6,2,1,2,33,9,76,97,74,12,9,2,,,,,,5,,,,,,,1,482337,1,292,3,346,0,0,,,,,2,24547,,,,,0,0,0,8,0,0,8,2,3981,3,1086,,,23,3309,,,,,3355,7563,19302,14,,,21,527,1214,102,157,1298,2172,364,270,634,1699,101815,644307
2006,2007,8/25/1926,TX,Amarillo,,,,,1,,1,,,24,4,,18,46,,46,,,,,,51,1,102,41,24,7,9,1,,,,,,6,,,,1,1,14,,,,,1,56,0,0,1,60,2,20000,1,15000,,,1,4,,0,0,7,0,0,7,,,1,126,,,6,700,,,,,2186,3901,6920,1,,,4,93,978,49,196,866,790,151,34,185,275,41692,422428
2006,2007,2/9/1966,AK,Anchorage,,,1,1,,,,,,9,2,1,5,17,9,26,13,,,,,14,1,36,19,12,2,1,,,3,2,,,9,,,,,10,40,1,481552,3,43698,1,32057,0,0,,,1,32057,1,15293,1,5,3,3920,0,0,0,2,0,0,2,,,1,82,1,52,2,285,1,78,,,736,2440,3675,,,,2,35,472,37,,507,261,51,27,78,106,32170,401610
2006,2007,8/13/1974,VA,Arlington,,,,,1,,1,1,2,127,10,,25,162,66,228,31,7,,,,63,34,144,67,56,11,,,,,,,,7,,,,,6,110,,,,,,,0,0,,,,,7,25164,,,,,0,0,0,23,0,0,23,4,5639,3,3418,3,870,38,13486,1,197,0,0,2929,35439,62001,5,,1,36,1351,7647,788,877,7913,6103,855,537,1392,1556,402541,2715932
2006,2007,7/2/1956,GA,Atlanta,,,1,1,,,,1,,155,13,,17,185,74,259,8,3,,2,,181,5,110,84,78,7,,,,,,,,15,1,2,,5,16,176,2,322345,4,22480,2,94,0,0,,,,,31,1556,,,,,0,0,0,49,8,0,49,1,126,3,2121,4,1445,15,6215,4,1558,,,9384,31324,52222,17,,1,4,942,9527,409,1077,7337,3141,1000,508,1508,1156,650000,6393796
2006,2007,1/1/1948,TX,Austin,,,,,1,,1,,,129,7,,30,166,52,218,31,2,,3,,182,45,105,103,82,21,,,,,,,,22,1,,,15,28,251,4,1058651,4,114973,2,700,1,300,4,300,2,120,1,6600,1,3800,,,0,0,0,38,0,,38,1,4651,3,561,2,558,14,3035,2,823,,,8822,30000,48488,3,,7,8,512,6818,319,747,5931,3072,972,344,1316,1327,422006,2397028
2006,2007,5/19/1903,OR,Baker,,,,,1,,1,,,18,2,1,14,35,1,36,20,2,,,,13,,15,36,27,2,6,,,,,,,24,,,,,,15,5,413666,,,4,142,0,0,3,180,,,7,54432,,,,,0,0,0,2,0,0,2,,,,,,,4,647,,,,,630,2032,3309,,,,,47,1023,117,85,966,729,129,68,197,265,37482,439500
