Year,Year_OCD,Year established,ST,Diocese,Cd,Cd:Ret,ABp,ABp:Ret,Bp,AuxBp,Bp:Ret,Abts,Abts:Ret,Pr:DADio,Pr:AOtDio,Pr:DioForMsn,Pr:Ret/Sk/Abs,TotDPr,TotRPr,TotPriests,ExtPrDio,Ord:DPr,Ord:RPr,Ord:TrDeac,Ord:PrmDeac,PrmDeacDioTot,TotBr,TotSis,Prsh,PrshwResPstrD,PrshwResPstrR,PrshwoResPstr:Pr,PrshwoResPstr:Deac,PrshwoResPstr:Br,PrshwoResPstr:Sis,PrshwoResPstr:Lay,PrshwoResPstr:Tm,Vacant,Ms,PstrCenter,NewPrsh,ClsdPrsh,ProfMnstry:Br,ProfMnstry:Sis,ProfMnstry:LayMin,Hsp,Hsp:TotAssist,HCCntr,HCCntr:TotAssist,HmAged,HmAged:TotAssist,ResCrChld,ResCrChld:TotAssist,DyCr/XDyCrCntr,DyCr/XDyCr:TotAssist,SpHms,SpHms:TotAssist,SpCntrSocSvcs,SpCntrSocSvs:TotAssist,ResCrDis,ResCrDis:TotAssist,OthInst,OthInst:TotAssist,Sem:D,StdntDio,StdntOthDio,DStdntOthSem,Sem:R,StdntR,TotSemnr,Coll/Univ,Coll/Univ:TotStdnt,HS:D/Prsh,HS:D/Prsh:TotStdnt,HS:Prvt,HS:Prvt:TotStdnt,ElSch:D/Prsh,ElSch:D/Prsh:TotStdnt,ElSch:Prvt,ElSch:Prvt:TotStdnt,NResSchDis,NResSchDis:TotStdnt,RE:HSStdnt,RE:ElStdnt,RE:TotStdnt,Tchrs:Pr,Tchrs:Schlstics,Tchrs:Br,Tchrs:Sis,Tchrs:LayTchrs,InfBapt,MinorBapt,AdltBapt,RcvdFullComm,FirstComm,Conf,Mar:Cath,Mar:Inter,TotMar,Dth,TotCath,TotPop
2007,2008,,NY,Albany,,,,,1,0,,,,170,5,,45,220,95,315,6,3,,,4,106,79,735,165,120,13,11,2,0,12,7,0,1,21,3,,,3,47,295,4,748500,15,61000,10,1450,4,975,5,460,12,1580,25,270000,11,360,9,970,,,,13,,,13,4,6400,4,1341,3,1216,26,5522,2,349,,,8649,23985,47475,,,5,28,781,3964,151,105,210,4516,3527,843,419,1262,4406,340000,1370628
2007,2008,,LA,Alexandria,,,,,1,0,,,,34,8,,19,61,,75,15,3,,,,5,4,57,48,29,11,6,2,0,0,0,0,,24,1,,,,7,5,2,254439,,,1,114,,,,,,,18,140485,2,155,,,,,,14,,,14,,,3,563,,,8,2291,,,,,1089,2164,6121,,,3,8,181,593,54,51,122,636,456,151,49,200,597,48050,387701
2007,2008,1/28/1961,PA,Allentown,,,,,1,0,1,,,156,12,1,52,221,71,292,3,1,,,,117,11,370,151,148,3,0,0,0,0,0,0,,5,26,,,11,370,,3,431963,1,2016,11,587,,,1,35,3,61,7,37169,3,765,,,,,,17,,,17,2,6075,8,3780,,,48,10262,,,3,128,,16782,37044,10,,,54,916,3158,,118,550,3551,3562,630,357,987,3208,272921,1161932
2007,2008,5/27/1901,PA,Altoona-Johnstown,,,,,1,0,,,,86,4,,39,129,76,205,,1,,2,1,31,9,68,97,74,12,9,2,0,0,0,0,,5,,,,,,,1,426351,1,285,3,350,,,,,,,2,24071,,,,,,,,8,,,8,2,4125,3,1011,,,23,3197,,,,,2966,7252,18559,16,,1,17,516,1151,,94,142,1258,2109,358,212,570,1623,101195,640635
2007,2008,8/25/1926,TX,Amarillo,,,,,1,0,2,,,23,5,,18,46,13,59,3,,,3,,57,1,104,38,24,7,9,1,0,0,0,0,,11,,,,1,,14,,,,,1,56,,,1,82,2,20000,1,15000,,,1,4,,,,11,,,11,,,1,124,,,6,649,,,,,1618,3857,6259,1,,,4,93,1112,115,58,134,1026,893,156,43,199,257,45215,422448
2007,2008,2/9/1966,AK,Anchorage,,,1,1,,0,,,,9,1,1,6,17,12,29,15,,,,,14,2,33,22,12,2,1,0,0,3,2,0,,6,,3,,,20,40,1,481552,3,43698,1,32057,,,,,,,3,16532,,,,,,,,1,,,1,,,1,80,1,52,3,317,1,94,,,746,2082,3372,,,,1,32,496,48,63,74,497,332,62,47,109,174,32170,401610
2007,2008,8/13/1974,VA,Arlington,,,,,1,0,1,1,2,125,10,,26,161,64,225,30,,,,,64,40,145,68,56,11,0,0,0,0,0,0,,6,,,,,20,127,,,,,,,,,,,,,12,24895,,,,,,,,29,,,29,4,5639,4,3413,3,833,38,13356,1,202,,,2748,33539,59759,5,,1,35,1270,7192,,519,1228,7777,6169,981,517,1498,2365,413360,2763057
2007,2008,7/2/1956,GA,Atlanta,,,1,1,,0,,1,,157,12,,31,200,71,271,8,2,,8,13,175,,91,84,78,7,0,0,0,0,0,0,,13,1,,,,15,138,2,326241,,,2,94,,,,,,,4,22480,,,,,,,,54,,,54,1,185,3,2119,4,1515,15,5706,4,1706,,,8534,36052,55871,8,,,4,801,12138,532,538,1205,8496,4066,1138,56,1194,1150,650000,6361283
2007,2008,1/1/1948,TX,Austin,,,,,1,0,1,,,132,6,,33,171,49,220,77,3,,5,22,214,47,105,104,82,21,0,0,0,0,0,0,,21,1,,,16,24,330,4,1257720,4,20916,2,700,1,300,4,300,2,160,1,7000,1,3400,,,,,,40,,,40,1,4651,3,507,2,597,16,3675,1,415,,,6668,30000,46553,3,,7,8,512,7433,663,314,1050,6513,3499,1061,366,1427,1517,464206,2513467
2007,2008,5/19/1903,OR,Baker,,,,,1,0,1,,,16,2,1,16,35,3,38,23,,,,,11,,11,36,27,2,6,0,0,0,0,0,,24,,,,,,,5,417573,,,1,142,,,3,180,,,7,64194,,,,,,,,2,,,2,,,,,,,4,607,,,,,599,1890,3098,,,,,53,785,152,78,91,260,620,132,44,176,230,36844,245219
