Year,Year_OCD,Year established,Diocese,ST,Cd,Cd:Ret,ABp,ABp:Ret,Bp,Bp:Ret,AuxBp,Abts,Abts:Ret,Pr:DADio,Pr:AOtDio,Pr:DioForMsn,Pr:Ret/Sk/Abs,TotDPr,TotRPr,TotPriests,ExtPrDio,Ord:DPr,Ord:RPr,Ord:TrDeac,Ord:PrmDeac,PrmDeacDioTot,TotBr,TotSis,Prsh,PrshwResPstrD,PrshwResPstrR,PrshwoResPstr:Pr,PrshwoResPstr:Deac,PrshwoResPstr:Br,PrshwoResPstr:Sis,PrshwoResPstr:Lay,PrshwoResPstr:Tm,Vacant,Ms,PstrCenter,NewPrsh,ClsdPrsh,ProfMnstry:Br,ProfMnstry:Sis,ProfMnstry:LayMin,Hsp,Hsp:TotAssist,HCCntr,HCCntr:TotAssist,HmAged,HmAged:TotAssist,ResCrChld,ResCrChld:TotAssist,DyCr/XDyCrCntr,DyCr/XDyCr:TotAssist,SpHms,SpHms:TotAssist,SpCntrSocSvcs,SpCntrSocSvs:TotAssist,ResCrDis,ResCrDis:TotAssist,OthInst,OthInst:TotAssist,Sem:D,StdntDio,DStdntOthSem,StdntOthDio,Sem:R,StdntR,TotSemnr,Coll/Univ,Coll/Univ:TotStdnt,HS:D/Prsh,HS:D/Prsh:TotStdnt,HS:Prvt,HS:Prvt:TotStdnt,ElSch:D/Prsh,ElSch:D/Prsh:TotStdnt,ElSch:Prvt,ElSch:Prvt:TotStdnt,NResSchDis,NResSchDis:TotStdnt,RE:HSStdnt,RE:ElStdnt,RE:TotStdnt,Tchrs:Pr,Tchrs:Br,Tchrs:Schlstics,Tchrs:Sis,Tchrs:LayTchrs,InfBapt,MinorBapt,AdltBapt,RcvdFullComm,FirstComm,Conf,Mar:Cath,Mar:Inter,TotMar,Dth,TotCath,TotPop
2010,2011,,Albany,NY,,,,,1,,,,,108,5,,93,206,79,285,5,5,,2,2,108,68,656,129,97,7,3,2,,8,9,,3,13,6,3,9,5,34,200,3,1250000,17,72000,7,1200,4,109,3,252,17,299,75,92891,12,90,90,18,,,6,,,,6,3,6670,4,1150,3,996,21,4844,2,290,,,8835,19927,42718,1,6,,17,741,3078,197,74,223,3405,4338,718,286,1004,4295,334055,1369952
2010,2011,,Alexandria,LA,,,,,1,,,,,31,5,,17,53,12,65,12,2,,,,6,3,27,50,37,13,,,,,,,,,,1,,,,15,1,205250,1,350,1,104,,,,,,,8,925,1,202,1,58900,,,7,,,,7,,,3,660,,,7,1952,,,,,1101,2327,6047,,9,,8,149,655,55,40,155,617,498,141,49,190,543,43418,387462
2010,2011,1/28/1961,Allentown,PA,,,,,1,1,,,,126,9,,68,203,69,272,6,1,,1,,98,15,322,104,97,3,4,,,,,,,,,,,,,,2,511281,2,5329,10,715,,,1,38,2,45,7,29788,2,848,,,,,15,,,,15,2,6105,8,3528,,,42,9896,,,,,225,15090,34964,7,,,39,889,3027,,98,432,3388,2858,558,308,866,2811,272674,1249183
2010,2011,5/27/1901,Altoona-Johnstown,PA,,,,,1,1,,,,77,3,,41,121,60,181,1,1,,1,5,37,7,71,88,69,15,,3,,1,,,,5,,,3,,,,1,386321,1,253,3,338,,,,,,,2,28361,,,,,,,2,,,,2,2,4379,,,3,963,20,3477,,,,,2777,6460,18058,2,1,,7,319,934,54,66,114,1115,1923,282,221,503,1521,91096,639908
2010,2011,8/25/1926,Amarillo,TX,,,,,1,1,,,,24,3,,14,41,6,47,12,1,,1,50,81,,81,38,20,4,14,,,,,,,,,,,,4,19,,,,,1,72,,,1,89,3,350,1,4000,,,1,4,,,7,,,,7,,,1,136,,,4,525,,,,,1773,4291,6732,2,,,5,74,1024,109,45,92,1173,558,158,57,215,305,41016,416386
2010,2011,2/9/1966,Anchorage,AK,,,1,1,,,,,,10,1,1,5,17,12,29,11,,,,,19,1,24,23,11,5,1,,,1,4,,,,,,,1,24,23,1,86502,5,10685,1,641,2,10,,,,,3,26767,,,,,,,2,,,,2,,,2,123,,,4,370,,,,,565,1783,2843,1,1,,4,76,391,49,49,65,477,325,47,57,104,122,26288,449371
2010,2011,8/13/1974,Arlington,VA,,,,,1,,1,1,2,130,8,2,23,163,61,224,30,3,1,3,,57,11,134,68,57,11,,,,,,,,,,,,,134,191,,,1,,,,,,5,,2,,7,45950,,,1,300,,,35,,,,35,5,6097,4,4027,2,536,38,11771,1,205,,,2781,34576,60028,,11,,21,1413,7064,767,489,603,8294,6538,801,730,1531,1669,453916,2899924
2010,2011,7/2/1956,Atlanta,GA,,,1,1,,,1,1,,141,9,,41,191,75,266,14,6,,3,12,242,33,90,87,75,12,,,,,,,,,,,,1,9,160,5,348989,,,3,95,,,,,,,5,22000,,,,,,,39,,,,39,,,3,2335,4,2348,15,6146,4,903,,,8938,31201,51610,14,2,,12,1122,9366,482,562,1626,8739,4902,962,463,1425,1362,900000,6998399
2010,2011,1/1/1948,Austin,TX,,,,,1,1,,,,95,11,,30,136,48,184,34,7,,2,,207,44,97,101,77,24,,,,,,,,,,,,5,24,146,5,1731473,,,2,228,,,2,300,2,342,7,18399,,,,,,,46,,,,46,1,5285,4,707,2,507,15,3068,1,392,,,8841,28054,46900,4,8,,19,549,9593,614,401,679,7812,4439,1343,354,1697,1671,509986,2761158
2010,2011,5/19/1903,Baker,OR,,,,,,1,,,,18,5,,16,39,12,51,9,1,,,,12,,22,31,22,9,,,,,,,,,,,,,9,16,4,329150,,,4,305,,,3,110,,,,,,,,,,,4,,,,4,,,,,,,5,576,,,,,813,2101,3494,,,,,41,936,84,67,118,915,728,129,34,163,294,34375,526760
2010,2011,,Baltimore,MD,,1,1,2,,1,,,,189,15,,46,250,238,488,61,1,,,,160,67,907,153,94,28,22,3,,,4,,,,,,,2,30,208,5,1721877,4,2904,27,4106,9,1071,6,2156,5,456,42,300410,1,261,1,15290,2,32,10,222,,,42,4,11175,7,3511,13,7433,42,16806,8,1351,1,121,2751,22494,65683,42,19,,72,3412,486,,486,932,5941,5688,1023,484,1507,4428,504062,3118905
2010,2011,7/20/1961,Baton Rouge,LA,,,,,1,,,,,48,1,,23,72,33,105,5,,,2,,13,18,97,68,42,12,14,,,,,,,,,,,,6,89,3,603423,,,7,723,,,,,5,323,8,226832,,,,,,,15,,,,15,1,1860,6,2282,2,1980,23,11046,,,,,3561,8338,29082,2,,4,13,991,2474,137,153,285,2487,2040,512,185,697,1702,203165,911870
2010,2011,9/29/1966,Beaumont,TX,,,,,1,,,,,31,3,,13,47,24,71,6,,,,,37,1,18,44,25,16,3,,,,,,,7,,,,,8,26,3,377354,,,,,,,,,,,3,4962,,,,,,,4,,,,4,,,,,1,450,5,1249,,,,,1658,6661,10022,,,,1,105,1379,,125,,1380,574,224,61,285,786,74045,600810
2010,2011,,Belleville,IL,,,,,1,1,,,,70,2,,47,119,30,149,1,4,,1,,26,5,143,119,71,6,34,3,,4,1,,,,,,,,,,5,580070,,,2,241,,,3,201,1,14,3,275000,,,,,,,3,,,,3,,,3,1185,,,29,4940,,,,,337,5251,11716,1,,,22,504,1125,230,125,190,1300,1400,275,250,525,1200,91550,860658
2010,2011,3/1/1977,Biloxi,MS,,,,,1,1,,,,36,,,50,,25,75,6,,,2,,34,11,39,42,31,8,3,,,,,,,11,,,,,9,17,,,,,7,475,,,,,,,8,239788,,,1,5178,,,11,,,,11,,,4,773,1,379,11,2620,,,,,1113,3342,8238,,5,,4,377,997,124,101,166,1054,855,121,94,215,665,59525,785528
2010,2011,6/28/1969,Birmingham,AL,,,,,1,1,,1,1,59,3,,23,85,27,112,,2,,1,,56,21,122,54,36,19,2,,,,,,,19,,,,1,9,55,4,689500,1,41000,,,,,,,1,20,19,89317,,,,,,,11,,,,11,,,5,1455,1,154,18,4511,1,189,1,123,1481,6893,14814,4,1,,14,390,2432,221,209,524,2003,1385,283,130,413,597,90632,2976645
2010,2011,12/31/1909,Bismarck,ND,,,,,1,,,1,1,40,4,,20,64,28,92,12,1,,2,,77,20,90,98,32,23,52,1,,,,,,,,,,,4,32,4,342628,,,6,641,,,,,,,,,,,1,120,,,21,,,,21,1,2977,3,650,,,10,1379,,,,,1570,5038,11635,3,,,4,185,966,118,35,91,867,995,211,129,340,789,59418,267046
2010,2011,,Boise,ID,,,,,1,,,,,49,6,,28,,11,94,7,5,,,3,68,5,85,52,38,2,8,3,,,1,,,28,28,1,,,3,49,5,619285,,,,,,,4,160,,,19,390000,,,,,,,6,,,,6,,,1,640,,,13,2241,,,,,2274,5804,10965,,,,1,204,2419,226,173,251,2431,1318,374,120,494,683,170038,1545801
2010,2011,,Boston,MA,1,,,,,3,5,1,,399,20,5,302,726,489,1215,51,3,,,,247,151,1873,291,275,16,,,,,,,,,,,,,36,241,8,708219,3,7511,15,2832,1,921,11,1110,21,1722,43,206000,,,3,35410,3,44,2,95,,,83,6,24850,3,1150,32,15155,79,24067,9,2264,2,139,26624,97419,191751,5,17,,402,,15948,2880,326,387,18679,14484,3021,750,3771,15773,1702410,3897463
2010,2011,8/6/1953,Bridgeport,CT,,,,,1,,,,,165,17,3,47,232,43,275,26,4,,1,,112,,343,87,74,5,7,1,,,,,,,,,,,50,,1,213062,2,22505,15,1165,,,,,9,225,19,485000,,,,,1,18,19,,,,37,2,11512,5,2289,2,1192,33,7650,1,480,2,109,3286,43662,70217,13,,,62,544,4108,,172,585,5128,5187,963,84,1047,2614,402136,901208
2010,2011,,Brooklyn,NY,,,,,1,5,2,,,274,23,1,218,516,177,693,101,3,,,,178,136,872,197,167,21,10,,,,,,,,,,,5,83,,,,10,10284,5,1300,1,6800,28,5403,30,9100,92,97621,74,3100,2857,3984,1,28,30,11,,,58,3,20659,3,1792,17,12021,100,31467,3,417,1,80,2953,32642,102089,2,28,,100,2450,16698,875,505,808,11658,9705,2104,290,2394,8958,1556575,4849605
2010,2011,7/10/1965,Brownsville,TX,,,,,1,1,,,,69,3,,13,85,30,115,8,1,,4,23,90,16,111,69,52,16,1,,,,,,,45,2,,,3,10,49,,,2,1990,2,227,,,,,,,6,46312,,,4,11383,1,5,21,,,,26,,,,,2,944,8,2286,3,901,,,8455,29823,42435,3,6,,9,274,8074,621,252,819,7441,3823,987,70,1057,2655,1037501,1220599
2010,2011,,Buffalo,NY,,,,,1,1,1,,,187,10,,131,328,108,436,7,2,,4,3,126,41,924,169,136,12,17,2,,1,,1,,1,2,2,4,1,41,120,4,1377810,1,950,9,3434,,,3,155,3,5412,5,252469,4,31,1,10199,1,16,4,1,,,21,7,17996,,,15,5095,51,11345,4,741,1,475,9363,25349,70385,30,22,,85,2463,3890,184,176,195,5091,5002,1043,448,1491,6072,633550,1527470
2010,2011,,Burlington,VT,,,,,1,,,,,55,2,,42,99,38,137,16,1,,1,,50,24,102,77,56,10,11,,,,,,,35,1,1,,,12,7,,,,,4,295,,,,,,,1,3349,,,,,,,9,,,,9,2,2918,2,448,,,9,1343,2,391,,,1620,4530,11259,1,,,2,208,792,72,75,116,975,939,225,106,331,1387,118000,621760
2010,2011,12/9/1937,Camden,NJ,,,,,1,,,,,135,11,1,109,256,41,297,20,2,,5,,153,14,295,113,80,2,31,,,,,1,,7,,7,15,,,,1,326345,2,17179,6,1744,,,2,227,,,1,7729,1,717,1,6514,,,15,,,,15,,,7,4211,3,1618,35,9628,1,40,2,897,1400,27312,45121,11,6,,38,967,4896,454,,310,5202,4904,768,249,1017,3453,505504,1425456
2010,2011,,Charleston,SC,,,,,1,1,,,,62,5,,19,86,44,130,28,3,,3,2,118,20,123,91,52,12,28,2,2,2,,,,24,1,,1,4,22,251,3,310130,,,1,24,,,,,,,8,19664,,,,,,,13,,,,13,,,2,1762,2,628,28,5455,,,,,1893,11143,20894,3,3,,20,581,3168,313,200,485,2972,2302,372,259,631,1219,195368,4561242
2010,2011,1/12/1972,Charlotte,NC,,,,,1,1,,1,1,74,2,,36,112,48,160,5,4,,,,103,11,123,73,56,17,,,,,,,,19,2,,,2,18,619,,,16,56000,2,180,,,13,1000,4,640,4,29927,1,125,1,,,,12,,,,12,1,1734,2,1941,,,16,5598,,,,,2841,24030,36154,,,,6,627,3233,329,293,628,5587,3615,639,312,951,1107,174689,4801606
2010,2011,,Cheyenne,WY,,,,,1,1,,,,34,2,,16,52,11,63,6,1,2,,,22,1,17,34,26,8,,,,,,,,37,,,,1,4,46,,,,,2,105,1,242,,,,,4,15744,,,,,,,10,,,,10,,,,,,,7,891,,,,,1135,2810,4846,,,,2,94,937,117,76,111,944,771,113,94,207,567,52335,532000
2010,2011,,Chicago,IL,1,,,,,4,4,,,537,37,2,228,804,779,1583,159,14,12,13,15,656,272,1996,357,276,56,25,,,,,,,11,8,,,8,63,733,17,2934646,2,17500,41,5661,2,3120,34,1951,6,408,100,742403,6,1310,5,1042,2,83,1,109,1,110,194,6,45310,8,3705,32,21780,208,60980,8,2110,5,450,7588,87783,229900,25,29,,120,6785,34363,,1425,900,26231,20780,4950,924,5874,13054,2350000,6018115
2010,2011,,Cincinnati,OH,,,1,1,,,1,,,185,4,,90,279,220,499,18,2,,3,33,201,120,890,214,140,23,49,,,1,1,,,,,1,5,25,33,276,9,1541943,,,13,3336,1,1495,1,267,,,9,91321,1,37,4,39775,1,23,11,14,,,34,4,21041,18,10020,5,3309,85,28313,7,1999,,,4060,27140,95916,11,23,,49,2691,5798,375,446,687,6887,7054,1255,693,1948,4006,475751,3031802
2010,2011,,Cleveland,OH,,,,,1,3,1,1,1,260,6,4,131,401,99,500,24,2,,6,6,215,57,1035,174,163,10,,,,1,,,,1,1,9,36,10,100,252,6,736426,1,423,24,5732,1,195,9,932,6,953,22,475726,2,283,3,21241,2,54,,2,9,,63,3,7151,6,3149,16,9999,93,31954,9,2377,1,115,3331,35808,93947,23,31,,105,3153,6266,426,423,580,8628,7801,1512,787,2299,6947,710651,2802957
2010,2011,1/30/1984,Colorado Springs,CO,,,,,1,1,,,,24,3,,9,36,16,52,17,1,,4,,37,3,98,41,32,7,,1,,,1,,,1,1,,,,1,107,2,350528,3,100,3,100,,,,,,,1,188777,,,,,,,,,,,23,,,,,1,356,5,926,,,,,2852,6435,10592,,,,,76,1322,116,81,140,1396,1245,146,72,218,425,77516,995020
2010,2011,,Columbus,OH,,,,,1,1,,,,107,5,,47,159,29,1188,19,3,,1,,96,,245,106,82,4,20,,,,,,,,,,,,20,30,6,1347847,,,19,1569,1,999,,,,,7,510345,,,,,1,25,6,107,,,62,2,4048,11,4688,,,42,11410,2,232,,,1355,13009,34804,15,,,4,1117,3452,248,289,396,3458,3626,490,369,859,1490,262075,2557200
2010,2011,3/23/1912,Corpus Christi,TX,,,,,1,1,,,,77,8,,22,107,35,142,27,1,,3,,82,3,147,68,40,3,25,,,,,,,32,1,,,,13,44,6,825118,,,2,82,,,1,5,1,,,,,,,,,,18,,6,,18,,,1,395,1,314,15,2428,2,555,,,2162,10426,16298,2,,,27,229,2810,477,144,270,2363,1233,934,108,1042,1668,396200,559067
2010,2011,,Covington,KY,,,,,1,1,,,,50,2,,34,86,15,101,2,2,,1,7,36,6,313,47,38,,7,,,1,1,,,6,,,,,7,8,5,882447,,,3,988,2,293,1,83,,,4,121923,,,1,2294,,,19,,,,19,1,1858,7,2544,2,791,27,6480,2,480,,,294,3640,16106,1,1,,19,700,1039,232,135,95,1450,1387,305,103,408,817,91686,464629
2010,2011,12/31/1909,Crookston,MN,,,,,1,,,,1,29,5,,13,47,3,50,4,1,,,,18,1,80,66,26,2,37,1,,,,,,,,,,1,5,41,3,127309,,,3,624,,,1,49,,,,,,,,,,,6,,,,6,,,1,149,,,8,1225,,,,,2004,2348,5732,,,,,104,531,,43,78,539,515,94,79,173,445,35478,252944
2010,2011,,Dallas,TX,,,,,1,2,2,1,,58,5,,33,96,72,168,33,,,,,140,18,124,69,51,11,3,4,,,,,,,,,,,15,194,,,,,2,249,,,1,90,,,8,42500,,,,,2,32,23,48,1,11,66,1,2860,3,2340,4,2389,28,9644,2,535,1,144,6965,41735,66678,18,5,5,18,1254,15746,,1007,674,10871,7911,1025,294,1319,1355,1117450,3864827
2010,2011,,Davenport,IA,,,,,1,1,,,,67,6,,30,103,2,105,5,1,,,,42,1,159,80,52,2,22,2,,,2,,,,,,,,,,3,425608,,,2,424,,,,,,,,,,,,,,,9,,,,9,1,3663,5,1236,,,13,3665,,,,,2342,8581,19496,,,,2,417,1400,38,153,135,1666,1384,241,194,435,1016,98899,759495
2010,2011,,Denver,CO,,,1,,,,1,1,,115,10,1,55,181,109,290,26,5,,12,2,188,15,272,119,102,17,,,,,,,,25,,,,15,272,,4,400673,7,27625,7,977,,,11,811,2,1158,16,81509,2,52,31,7774,2,67,11,47,,,78,2,11212,2,924,5,3005,37,8860,2,582,1,85,4696,23729,53171,6,3,,15,967,9437,410,377,592,8608,5879,1157,307,1464,2614,541419,3299911
2010,2011,8/12/1911,Des Moines,IA,,,,,1,1,,,,56,2,,28,86,8,94,6,1,,1,13,89,,64,82,48,4,30,,,,,,,,,,,,11,50,3,1431207,,,1,373,,,,,1,5102,5,43762,,,,,,,16,,,,16,1,792,2,1585,,,15,4831,,,,,2140,9967,19331,1,,,1,386,1754,100,85,271,1914,1623,291,187,478,753,90619,816196
2010,2011,,Detroit,MI,,2,1,,,2,3,,,250,8,2,127,386,201,587,52,6,,2,2,187,77,1230,271,204,28,23,,,,,,,,,,,4,57,486,10,1051719,,,21,15608,,,,,14,2370,43,67201,,,6,200,2,41,4,56,1,6,51,3,13124,11,3936,13,6411,73,22412,1,323,,,5413,58286,109956,28,7,,49,2181,8908,609,663,1003,11273,10134,1955,726,2681,8544,1413612,4373040
2010,2011,5/19/1951,Dodge City,KS,,,,,1,2,,,,17,1,,13,31,4,35,8,,,1,,8,,71,48,15,2,24,,,3,1,,,,,,,,15,17,2,141504,,,,,,,,,,,4,8724,,,,,,,,,,,6,,,,,,,7,994,,,,,1591,3502,6093,,,,,85,959,84,35,71,1096,967,142,58,200,311,43987,216396
2010,2011,,Dubuque,IA,,,1,1,,,,1,1,98,4,90,,192,32,224,4,,,2,,97,23,703,175,76,,92,,,5,2,,,,1,,1,,25,400,7,1105741,2,229,4,647,,,,,,,3,570,,,,,1,10,8,4,1,100,118,3,4369,7,2432,,,44,10020,,,,,4814,12063,33816,,,,14,900,2769,61,100,260,2689,2547,620,357,977,1994,206843,979560
2010,2011,,Duluth,MN,,,,,1,,,,,45,2,,28,75,8,83,6,,,1,4,44,,104,93,39,6,47,1,,,,,,,,,,,1,32,2,298041,,,5,691,,,1,95,,,,,,,,,,,19,,,,19,1,3898,,,,,12,1677,,,,,2640,3321,11555,1,,,5,307,690,31,26,89,703,639,136,101,237,878,58109,441302
2010,2011,3/3/1914,El Paso,TX,,,,,1,,,,,46,4,,29,79,36,115,5,2,,1,,24,13,133,57,37,9,7,3,,1,,,,19,,,,,1,,,,2,50587,1,230,,,,,,,3,31659,,,,,1,3,12,,1,16,31,,,,,3,1122,8,2426,1,499,,,7685,11699,23462,,7,,11,279,5393,472,112,121,5034,3810,717,47,764,2195,652956,826611
2010,2011,,Erie,PA,,,,,1,,,,,138,3,,52,193,6,199,5,5,,1,6,62,,326,117,95,2,20,,,,,,,21,3,,,,,11,1,510750,,,4,1620,,,1,110,3,192,24,58000,,,1,200,1,12,4,8,,,16,2,8607,6,,1,597,32,5005,1,227,,,5127,7524,28795,7,,,8,540,1400,65,125,80,1850,1770,360,240,600,2510,221958,860340
2010,2011,11/11/1944,Evansville,IN,,,,,1,,,,,46,1,,26,73,5,78,1,,,,,52,,254,69,38,3,22,5,,1,,,,,,,,,10,87,2,982874,1,60,3,128,,,1,56,,,10,167028,,,,,,,6,,,,6,,,4,1510,1,12,24,5699,,,,,1873,4556,13656,,,,11,559,1148,,70,122,1155,1065,283,160,443,812,83650,498515
2010,2011,8/8/1962,Fairbanks,AK,,,,,1,,,,,13,2,,2,17,6,23,7,,,,1,24,2,11,46,10,2,,2,4,1,15,12,,,,,,,2,11,,,,,,,,,,,,,1,2000,,,,,,,1,,,,1,,,1,208,,,1,264,,,,,317,764,1554,,,,,54,236,23,14,19,200,85,20,14,34,126,13526,167000
2010,2011,3/12/1904,Fall River,MA,,,,,1,,,,,97,7,1,45,150,100,250,7,,,1,,87,20,183,90,74,10,6,,,,,,,11,,1,2,,5,65,,,,,5,1145,1,140,1,45,2,60,4,45000,2,399,137,11960,,,6,,,,6,2,2520,5,2828,,,21,4635,,,,,4031,23269,37289,9,3,,8,712,3058,119,44,237,3616,3422,827,174,1001,3526,311656,827300
2010,2011,,Fargo,ND,,,,,1,,,,,80,8,,44,132,9,141,7,,,2,1,132,,117,132,64,4,64,,,,,,,,,,,,3,60,8,156511,,,13,1735,,,,,1,45,3,2592,,,,,1,2,16,1,,,18,1,490,1,345,,,12,1679,,,,,2259,5254,10045,1,,,1,156,1185,38,59,151,1013,1137,196,153,349,869,83752,379798
2010,2011,,Fort Wayne-South Bend,IN,,,,,1,1,,,,60,,,18,78,131,209,20,1,2,2,,11,142,473,80,54,13,13,,,,,,,,,,,,11,102,2,216965,4,56490,7,2251,,,1,195,,,11,237013,,,4,10648,,,23,,1,17,40,5,16679,4,3047,,,39,10435,,,,,1461,8841,40503,,,,6,738,2476,307,181,489,3060,2753,493,251,744,1422,158899,1262788
2010,2011,8/22/1969,Fort Worth,TX,,,,,1,,,,,48,2,1,20,71,52,123,9,3,,3,,109,9,79,89,38,20,22,8,1,,,,,,,,,6,60,300,,,,,4,342,,,,,,,18,111817,,,,,,,30,,,,30,1,50,4,1398,,,16,4649,1,168,,,7696,21156,35147,,1,,4,518,5982,468,342,842,6360,3403,783,240,1023,1176,586146,3260246
