,1991,1996,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Albany,253,230,0,350,350,324,259,259,,170,175,179,210,168,156,223,139,148,124,133
Alexandria,85,107,133,130,153,283,127,117,148,86,129,74,122,122,152,155,154,100,96,155
Allentown,,283,415,400,472,,,,,,,3714,550,,0,432,2915,304,121,204
Altoona-Johnstown,156,194,173,246,206,229,211,160,138,99,103,157,142,133,136,114,134,115,164,97
Amarillo,58,121,147,192,154,146,91,109,249,316,111,196,134,164,181,92,116,116,89,110
Anchorage,44,,,,89,70,85,84,74,68,60,,74,115,79,65,54,45,52,60
Anchorage (Archdiocese),,47,69,68,,,,,,,,,,,,,,,,
Arlington,806,,0,514,485,552,578,518,1016,445,361,877,1228,574,1211,603,695,558,897,610
Atlanta,,,,,919,1192,953,1450,1425,1546,1529,1077,1205,1074,1260,1626,1166,725,1124,992
Atlanta (Archdiocese),,811,980,1160,,,,,,,,,,,,,,,,
Austin,527,1014,931,914,946,992,1074,1027,1100,745,854,747,1050,1018,1107,679,722,671,747,564
Baker,72,92,142,161,100,145,112,76,99,99,44,85,91,168,208,118,122,62,128,58
Baltimore,977,,,,1344,,1006,958,894,769,831,784,766,715,910,932,793,413,481,503
Baltimore (Archdiocese),,1102,1237,1344,,,,,,,,,,,,,,,,
Baton Rouge,,475,359,364,448,412,356,373,404,383,365,260,301,231,264,285,285,390,305,280
Beaumont,147,233,203,405,252,310,337,234,262,244,229,226,165,196,0,,249,,,
Belleville,263,259,207,315,245,283,287,314,257,232,259,200,200,128,186,190,187,203,200,220
Biloxi,218,133,216,242,194,236,250,265,179,203,220,180,154,184,181,166,162,176,181,161
Birmingham,365,408,445,526,481,561,612,492,494,325,419,455,322,426,576,524,414,420,474,503
Bismarck,,,151,135,119,147,256,87,106,98,111,100,140,84,81,91,110,114,186,109
Bismark,155,232,,,,,,,,,,,,,,,,,,
Boise,,211,197,126,219,241,210,232,230,230,226,256,324,212,203,251,307,316,299,291
Boston,520,,350,,357,383,348,403,214,254,348,602,209,325,387,387,255,465,412,417
Boston (Archdiocese),,327,,356,,,,,,,,,,,,,,,,
Bridgeport,155,141,128,139,109,118,97,106,97,0,127,,293,4343,564,585,602,590,137,137
Brooklyn,464,3194,1165,864,939,1375,811,662,925,621,606,688,1371,828,828,808,47,49,315,368
Brownsville,453,644,486,595,321,368,420,597,615,560,635,593,1129,1087,804,819,901,800,698,734
Buffalo,492,430,521,449,485,527,467,501,433,417,407,363,278,284,224,195,199,247,249,207
Burlington,95,141,136,177,150,160,163,158,131,124,90,130,88,114,121,116,105,118,74,104
Camden,275,428,432,421,523,721,608,511,,7248,544,330,587,621,393,310,245,,245,272
Charleston,302,464,392,470,443,512,,637,475,441,518,498,500,492,404,485,412,358,365,369
