,1991,1996,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Albany,408659,403403,403403,403403,403403,400000,400000,400000,400000,400000,400000,360000,340000,350000,331908,334055,330000,330000,330000,330000
Alexandria,48050,48050,48050,48050,48050,48050,48050,48050,48050,48050,48050,48050,48050,40783,44003,43418,43484,43520,42929,36669
Allentown,253595,256090,259729,259847,265439,264373,268609,270843,273599,273249,275129,272640,272921,276662,272300,272674,271482,270469,263243,260461
Altoona-Johnstown,127105,122434,117493,115210,114987,100651,112426,110122,108202,105042,103694,101815,101195,97733,94284,91096,90507,87525,87592,84368
Amarillo,37982,40467,47387,46356,48783,54208,56361,49128,43651,43248,40293,41692,45215,39416,40310,41016,50237,43355,46650,48678
Anchorage,22475,27411,28723,29307,31071,32364,31112,32170,29693,32170,32170,32170,32170,37089,37089,26288,37089,26742,27345,43761
Arlington,256612,293664,326398,336123,335053,353367,368575,382574,391001,398229,400539,402541,413360,428417,431386,453916,453916,454382,440028,457874
Atlanta,176000,212850,292300,311000,320330,250999,321978,367472,371139,367000,368100,650000,650000,750000,850000,900000,1000000,1000000,1000000,1000000
Austin,204384,270000,234487,350000,350000,266838,400156,401541,401842,401842,500000,422006,464206,485612,321197,509986,518940,536183,549420,558329
Baker,28131,29485,34811,35588,39853,36179,37155,38390,36420,36420,35647,37482,36844,32242,32799,34375,34142,35266,35961,34417
Baltimore,541576,441860,487499,484287,484287,486607,497424,500178,506587,509579,517679,510215,504159,509336,499529,504062,510328,489109,485167,500393
Baton Rouge,213352,222980,209182,207511,209581,215929,208574,221424,210464,203413,212224,215298,212329,219018,211149,203165,225979,198828,197069,198091
Beaumont,87805,86595,86598,87604,88625,95397,94145,94780,89403,80618,80281,74893,76107,74501,73327,74045,72117,77672,73672,66936
Belleville,124076,106426,113051,109233,105266,107425,104022,107041,103818,110577,100100,100100,100000,83689,91550,91550,91550,93795,90000,75000
Biloxi,58131,65143,65524,66507,67862,68043,70630,73286,72158,67715,67244,57221,58202,58548,62494,59525,58702,62941,58257,59745
Birmingham,61727,68252,71958,71958,76941,90590,91922,88515,74777,88515,86505,83717,83223,89021,89489,90632,90135,90727,92550,94673
Bismarck,70521,69388,66956,66763,67559,68484,67416,61378,64245,62739,62898,62666,60583,62354,61271,59418,60411,61862,58684,59130
Boise,72051,115150,120000,122640,126650,130500,130750,133950,145900,146200,148100,162609,165363,168542,167620,170038,172434,174348,175530,177335
Boston,1927711,2009946,2002322,2042688,2017451,2037032,2069225,2083899,2077487,2079730,1845846,1871667,1855315,1484661,1681533,1702410,1807002,1906372,1904863,1949219
Bridgeport,343139,353238,360918,360918,363246,364685,362569,343992,410304,403757,460298,458304,410304,410091,401136,402136,410834,410834,420000,433832
Brooklyn,1545100,1531858,1615117,1625547,1637999,1651304,1815752,1824642,1826592,1832235,1556575,1561638,1436312,1440000,1440000,1556575,1440000,1400000,1403137,1556575
Brownsville,560701,689657,748326,774056,748326,799217,831613,831614,888004,888004,943611,959238,995160,995160,1021861,1037501,1074477,1074477,1074477,1119583
Buffalo,772375,755427,749655,741506,731008,725452,713752,709258,707981,702884,694992,692215,686355,659000,656760,633550,633123,631409,630650,604450
Burlington,142208,146709,147624,147840,148246,148712,148813,149048,149154,149460,118000,118000,118000,118000,118000,118000,118000,118000,117000,118000
Camden,392791,405541,415717,418713,394373,430867,441482,445017,442389,450271,459118,406658,467623,469058,500326,505504,511822,518219,511822,493779
Charleston,80206,105247,116726,121637,126794,130255,130696,148116,152413,155259,157450,176372,183356,192160,184728,195368,196658,192422,186084,191423
Charlotte,74981,99317,116539,119160,122062,129385,131147,135398,138583,145148,150431,154621,161244,167543,171909,174689,174689,180130,184774,196035
Cheyenne,63737,46903,48911,49800,49000,48781,45060,49000,50979,49459,49121,49038,47119,52397,51467,52335,54129,55777,57248,57859
Chicago,2350000,2338000,2349000,2358000,2384000,2394000,2442000,2446000,2442000,2363000,2348000,2342000,2341000,2338000,2338000,2350000,2323000,2321000,2203000,2206000
Cincinnati,531500,545300,547000,547000,511165,513469,516470,514928,512146,500032,498493,487127,485112,476189,468204,475751,477338,471457,454918,461129
Cleveland,808601,825356,831887,827971,822996,816912,820110,814791,812675,802767,797898,779937,766065,753255,744000,710651,706465,698450,701219,692644
Colorado Springs,65243,84889,84810,81515,82227,86951,120000,125000,136814,156960,166602,166602,184918,141865,82540,77516,161770,165213,167502,170449
Columbus,207207,214215,218796,193955,196355,198116,207328,236402,240682,245413,252103,261013,261103,254759,257374,262075,264425,266776,269126,271476
Corpus Christi,331000,351500,362500,363000,226498,165921,250000,328447,384308,386219,388878,391029,392430,395611,391182,396200,397449,397500,398706,408611
