,1991,1996,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Albany,2659,2388,,1751,1751,1759,1870,1800,1454,1500,1500,1194,1262,1153,1008,1004,975,992,893,766
Alexandria,300,288,,325,242,293,261,227,201,227,215,166,200,240,194,190,187,160,56,142
Allentown,1922,1528,,1490,1443,1169,1382,1050,1236,1222,1061,1052,987,1091,935,866,807,772,721,505
Altoona-Johnstown,906,909,,800,791,747,689,656,596,594,584,634,570,518,491,503,452,455,414,371
Amarillo,344,328,,199,301,275,289,311,223,224,259,185,199,257,214,215,206,210,226,205
Anchorage,187,148,,140,145,176,140,142,118,106,340,78,109,104,96,104,88,62,82,59
Arlington,1998,1870,,1810,1776,1949,1826,1693,1632,1536,1430,1392,1498,1407,1444,1531,1551,1521,1400,1054
Atlanta,1312,1965,,1640,1738,1932,1658,1589,1423,1423,1579,1508,1194,1645,1575,1425,1304,2152,1616,1851
Austin,1452,1429,,1569,1583,1714,1634,1542,1225,1389,1327,1316,1427,1696,1600,1697,1421,1744,1426,1427
Baker,201,228,,220,218,237,186,234,215,215,162,197,176,188,178,163,169,155,138,149
Baltimore,3700,3978,,2577,2577,2590,2309,2757,2607,1810,1765,1703,1688,1654,1512,1507,1307,1303,1274,1172
Baton Rouge,1228,1246,,1059,1049,1007,957,894,895,873,808,793,817,744,700,697,697,612,632,620
Beaumont,492,446,,370,452,356,384,360,368,340,311,291,309,287,301,285,244,247,211,169
Belleville,990,876,,719,706,676,699,667,657,590,481,331,411,436,492,525,482,435,314,380
Biloxi,455,359,,351,329,409,389,322,310,321,295,233,262,248,286,215,243,237,233,241
Birmingham,555,445,,449,422,447,436,403,371,405,417,433,474,538,411,413,338,411,333,370
Bismarck,282,601,,427,494,514,421,424,407,394,375,518,392,416,338,340,328,307,327,287
Boise,610,598,,617,599,602,562,534,506,503,545,490,497,509,464,494,541,498,484,478
Boston,12129,9611,,8433,8007,7534,7263,6638,6143,5539,4820,4519,4213,3727,3716,3771,3012,3517,3070,2615
Bridgeport,2341,2552,,2016,2015,1885,1916,1355,1260,1514,1419,1021,1034,981,913,1047,1085,1065,863,741
Brooklyn,7316,4295,,4297,4352,4141,3910,3523,3634,3455,3242,3061,3564,2486,2696,2394,2159,2258,2505,2267
Brownsville,1267,1348,,1396,1111,1027,1052,915,896,783,853,783,807,652,1190,1057,1445,171,1221,1196
Buffalo,4259,3205,,2947,2812,2688,2548,2267,2105,2093,1880,1788,1691,1715,1515,1491,1418,1490,1398,1319
Burlington,967,923,,818,778,728,658,619,605,483,511,489,421,350,406,331,332,326,320,308
Camden,2556,2255,,1957,1854,1913,1800,1529,2526,1533,1535,1427,1376,1327,1412,1017,1042,1040,1042,816
Charleston,731,1064,,706,742,725,715,672,706,641,733,688,697,669,682,631,644,675,639,622
Charlotte,713,740,,796,751,839,763,822,818,850,810,772,894,866,806,951,951,882,882,935
Cheyenne,374,318,,295,361,338,351,297,294,286,282,429,272,279,301,207,231,217,182,180
Chicago,13234,11582,,10257,10058,10367,9541,9129,8724,8341,7963,7800,7306,6892,6519,5874,6005,6030,5743,6664
