,1991,1996,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Albany,15,13,11,9,7,7,10,10,9,10,11,11,13,13,11,6,7,8,,
Alexandria,11,15,12,16,14,17,21,14,11,10,8,12,14,12,12,7,7,9,11,11
Allentown,46,31,28,32,30,24,26,22,22,20,17,20,17,18,14,15,17,17,18,15
Altoona-Johnstown,11,14,9,9,8,4,6,9,13,12,12,8,8,9,4,2,3,3,4,4
Amarillo,13,12,16,8,8,6,7,6,5,3,4,7,11,10,11,7,7,7,4,6
Anchorage,1,,,,5,6,5,5,2,2,0,2,1,2,2,2,4,4,6,5
Anchorage (Archdiocese),,,3,4,,,,,,,,,,,,,,,,
Arlington,56,35,32,33,32,34,39,23,23,24,24,23,29,35,37,35,32,37,38,40
Atlanta,26,,,,53,55,49,48,48,46,41,49,54,42,42,39,38,47,44,48
Atlanta (Archdiocese),,58,70,62,,,,,,,,,,,,,,,,
Austin,19,15,11,15,15,18,23,31,33,29,33,38,40,40,46,46,44,41,39,45
Baker,4,6,5,6,6,5,8,4,4,4,2,2,2,1,2,4,2,3,5,6
Baltimore,24,,,,26,28,35,37,27,25,28,24,25,34,30,42,29,30,29,25
Baltimore (Archdiocese),,35,37,33,,,,,,,,,,,,,,,,
Baton Rouge,10,6,10,8,15,7,11,13,16,16,16,21,17,14,18,15,15,14,19,20
Beaumont,7,7,10,12,15,14,9,11,9,7,4,4,,,,4,13,5,4,6
Belleville,15,16,10,12,14,15,13,10,9,6,5,3,5,5,2,3,5,3,4,6
Biloxi,4,,6,6,6,7,9,8,10,12,11,10,7,4,8,11,9,7,7,6
Birmingham,12,8,14,18,19,20,15,12,9,9,10,14,10,8,8,11,16,16,9,16
Bismarck,,,22,24,17,14,10,10,14,18,14,16,17,18,23,21,17,14,12,23
Bismark,8,24,,,,,,,,,,,,,,,,,,
Boise,14,12,15,15,18,14,13,14,21,23,26,23,24,16,11,6,8,9,8,9
Boston,203,,54,,207,197,200,136,93,90,88,101,64,49,37,83,96,95,122,103
Boston (Archdiocese),,237,,219,,,,,,,,,,,,,,,,
Bridgeport,27,44,32,33,27,29,35,31,27,24,22,23,20,29,32,37,35,49,49,23
Brooklyn,285,71,54,41,48,35,30,33,32,33,54,55,52,45,45,58,126,61,60,53
Brownsville,17,14,8,24,21,22,31,24,24,24,27,26,27,27,21,26,34,20,17,16
Buffalo,33,29,18,34,29,36,34,30,25,21,23,21,18,18,20,21,24,23,28,37
Burlington,10,10,14,10,8,11,13,10,9,9,10,10,8,10,10,9,13,11,9,9
Camden,22,19,24,25,28,31,29,29,29,29,26,20,13,12,12,15,9,10,8,10
Charleston,11,14,11,11,10,13,,21,21,18,18,8,12,12,12,13,11,11,10,11
Charlotte,16,18,28,24,22,20,21,23,17,15,17,22,16,16,16,12,12,16,15,18
Cheyenne,10,,5,8,10,12,11,17,19,13,13,6,5,10,10,10,12,8,10,8
Chicago,624,,,,471,465,504,521,511,529,503,483,248,251,203,194,186,174,176,95
Chicago (Archdiocese),,460,413,478,,,,,,,,,,,,,,,,
Cincinnati,26,,,,40,41,41,48,41,33,35,34,29,28,26,34,32,45,44,50
Cincinnati (Archdiocese),,26,31,37,,,,,,,,,,,,,,,,
Cleveland,77,54,59,60,65,49,55,51,63,60,67,86,70,66,65,63,57,63,69,74
Colorado Springs,2,7,6,3,3,4,2,3,8,7,10,15,10,13,15,23,21,21,27,24
Columbus,33,16,20,15,15,17,18,20,21,16,18,21,24,24,25,62,33,32,38,38
Corpus Christi,19,26,32,27,21,18,18,13,22,18,15,16,17,16,20,18,12,11,12,12
Covington,6,7,5,6,3,4,3,6,10,12,13,16,21,21,16,19,26,28,23,19
Crookston,5,6,6,7,7,7,8,3,5,6,6,4,3,8,6,6,7,10,7,7
Dallas,25,34,28,19,19,17,24,11,15,30,45,38,36,54,61,66,83,75,72,64
Davenport,18,12,8,10,10,11,11,13,11,11,10,9,9,9,12,9,12,11,12,14
Denver,54,,,,63,66,83,78,77,73,93,108,74,73,73,78,80,77,68,69
Denver (Archdiocese),,46,37,63,,,,,,,,,,,,,,,,
Des Moines,20,10,4,4,6,7,10,19,15,18,17,13,11,10,10,16,15,18,19,28
Detroit,60,,,,46,40,48,46,49,46,40,47,47,54,71,51,64,69,60,57
Detroit (Archdiocese),,61,55,61,,,,,,,,,,,,,,,,
Dodge City,14,2,2,2,3,3,3,6,1,3,3,4,4,3,4,6,3,4,5,4
Dubuque,16,,,,116,94,94,115,106,100,77,85,73,75,104,118,145,131,136,130
Dubuque (Archdiocese),,131,134,121,,,,,,,,,,,,,,,,
Duluth,6,5,7,9,7,9,13,14,14,17,18,23,20,22,22,19,17,12,11,11
El Paso,69,55,22,23,34,32,34,32,32,35,24,29,28,25,32,31,25,26,25,30
Erie,20,13,23,23,25,27,27,22,25,24,21,22,15,16,20,16,18,17,13,14
Evansville,17,10,11,10,15,11,14,14,11,7,5,5,8,12,8,6,10,11,11,10
Fairbanks,,,2,4,2,2,2,2,3,2,3,2,1,1,1,1,,,,
Fall River,12,33,20,33,34,26,16,15,15,10,10,9,8,7,7,6,6,8,9,7
Fargo,24,18,46,49,49,42,28,22,12,14,18,19,22,22,17,18,18,17,17,19
Fort Wayne-South Bend,52,42,33,53,46,48,51,59,29,37,28,27,28,31,34,40,53,68,72,63
Fort Worth,6,14,13,13,13,12,12,15,15,15,17,25,21,24,27,30,27,28,31,31
Fresno,22,20,17,19,26,26,40,23,23,20,21,13,27,20,21,18,18,17,21,25
Gallup,13,3,2,5,3,4,4,3,4,1,2,2,3,1,2,3,3,5,5,4
Galveston-Houston,38,65,55,55,53,66,64,52,57,45,48,64,53,56,54,62,57,62,61,60
Gary,16,19,14,10,11,13,16,16,18,15,15,18,19,15,17,16,11,11,9,9
Gaylord,9,8,8,9,7,9,5,9,13,9,7,10,4,7,7,10,12,13,16,13
Grand Island,6,6,3,2,3,6,5,4,4,2,4,6,8,9,8,6,6,5,3,1
Grand Rapids,20,18,10,14,11,18,14,12,9,8,10,14,10,10,12,14,17,21,20,24
Great Falls-Billings,,2,4,3,3,6,6,5,6,5,4,4,5,5,5,4,7,4,5,1
GreatFalls-Billings,10,,,,,,,,,,,,,,,,,,,
Green Bay,36,19,14,13,15,16,23,21,23,22,19,19,15,14,25,29,32,32,32,31
Greensburg,33,24,28,18,29,25,6,32,30,18,21,20,20,22,32,31,31,30,27,25
Harrisburg,12,15,11,13,16,19,22,21,17,13,18,12,21,23,27,26,31,41,37,37
Hartford,134,,,,,120,130,130,121,118,115,156,177,194,196,144,128,145,101,102
Hartford (Archdiocese),,144,161,174,,,,,,,,,,,,,,,,
Helena,9,8,13,11,10,7,17,7,8,14,10,6,9,11,12,12,12,16,15,15
Holy Protection of Mary - Byzantine,,,,,,,,,,,,,,,,3,2,4,1,2
Honolulu,6,2,6,1,,1,2,5,1,1,3,4,3,6,8,10,11,12,10,11
Houma-Thibodaux,13,16,11,10,8,,8,8,4,5,6,11,15,13,12,14,15,13,16,17
Indianapolis,136,,,,30,30,32,33,29,41,36,50,42,120,137,148,28,162,167,143
Indianapolis (Archdiocese),,133,148,95,,,,,,,,,,,,,,,,
Jackson,10,2,3,5,10,9,7,6,4,7,9,10,10,11,10,9,9,11,12,10
Jefferson City,54,41,30,30,38,32,30,12,15,12,10,16,17,17,18,20,20,13,13,13
Joliet,18,,,23,,,,,,,,,,,,,,,,
Joliet IL,,15,21,,,,,,,,,,,,,,,,,
Joliet in Illinois,,,,,26,28,28,23,24,23,27,24,32,28,28,20,29,31,35,37
Juneau,1,,1,2,2,2,3,,,2,2,2,1,1,1,1,,,1,2
Kalamazoo,8,6,5,11,12,12,10,11,12,19,18,17,18,16,13,14,13,8,10,12
Kansas City KS,15,,,,,,,,,,,,,,,,,,,
Kansas City KS (Archdiocese),,10,13,18,,,,,,,,,,,,,,,,
Kansas City in Kansas,,,,,27,24,23,25,23,22,21,22,20,23,28,29,28,31,35,31
Kansas City-St. Joseph,13,78,31,34,28,17,16,11,10,13,18,18,24,27,27,26,24,26,30,33
Knoxville,19,15,19,19,7,10,6,8,7,8,8,9,9,7,9,15,17,19,21,14
La Crosse,36,32,38,41,34,42,28,27,27,19,19,21,21,33,34,31,33,33,31,31
Lafayette,,41,,,,,,,,,,,,,,,,,,
Lafayette IN,21,8,5,3,,,,,,,,,,,,,,,,
Lafayette LA,42,,43,44,46,43,44,44,52,44,46,50,46,38,47,39,46,57,53,48
Lafayette in Indiana,,,,,5,6,8,11,11,14,17,20,23,28,30,28,22,20,22,20
